stim_name,wtc_code,manifest_wtc_code,beta_oname,beta_oname_midi,manual_onset_s,sync_status,prior_sync_status,notes,01_deployed_t0.wav_packet_path,01_deployed_t0.wav_link_mode,02_matched_t0.wav_packet_path,02_matched_t0.wav_link_mode,03_beta_midi_piano_t0.wav_packet_path,03_beta_midi_piano_t0.wav_link_mode,04_original_beta_midi.midi_packet_path,04_original_beta_midi.midi_link_mode,05_stacked_sync_check.png_packet_path,05_stacked_sync_check.png_link_mode
track1,wtc1p15,wtc1p15,cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.wav,cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.midi,1.06510416666667,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track1/01_deployed_t0.wav,hardlink,audio_midi_t0/track1/02_matched_t0.wav,hardlink,audio_midi_t0/track1/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track1/04_original_beta_midi.midi,hardlink,audio_midi_t0/track1/05_stacked_sync_check.png,hardlink
track10,wtc1p03,wtc1p03,cut-MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.wav,cut-MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.midi,0.9642708333333329,midi_pending_confirmation,pass_after_correction,Piece-code mapping corrected from source-table label.,audio_midi_t0/track10/01_deployed_t0.wav,hardlink,audio_midi_t0/track10/02_matched_t0.wav,hardlink,audio_midi_t0/track10/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track10/04_original_beta_midi.midi,hardlink,audio_midi_t0/track10/05_stacked_sync_check.png,hardlink
track11,wtc1p15,wtc1p15,cut-MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--1.wav,cut-MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--1.midi,1.08329166666667,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track11/01_deployed_t0.wav,hardlink,audio_midi_t0/track11/02_matched_t0.wav,hardlink,audio_midi_t0/track11/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track11/04_original_beta_midi.midi,hardlink,audio_midi_t0/track11/05_stacked_sync_check.png,hardlink
track12,wtc1p04,wtc1p04,cut-MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018_wav--1.wav,cut-MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018_wav--1.midi,0.9890625,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track12/01_deployed_t0.wav,hardlink,audio_midi_t0/track12/02_matched_t0.wav,hardlink,audio_midi_t0/track12/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track12/04_original_beta_midi.midi,hardlink,audio_midi_t0/track12/05_stacked_sync_check.png,hardlink
track13,wtc1p15,wtc1p15,cut-MIDI-Unprocessed_18_R1_2008_01-04_ORIG_MID--AUDIO_18_R1_2008_wav--1.wav,cut-MIDI-Unprocessed_18_R1_2008_01-04_ORIG_MID--AUDIO_18_R1_2008_wav--1.midi,1.01952083333333,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track13/01_deployed_t0.wav,hardlink,audio_midi_t0/track13/02_matched_t0.wav,hardlink,audio_midi_t0/track13/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track13/04_original_beta_midi.midi,hardlink,audio_midi_t0/track13/05_stacked_sync_check.png,hardlink
track14,wtc1p17,wtc1p17,cut-ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_04_R1_2013_wav--1.wav,cut-ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_04_R1_2013_wav--1.midi,0.988395833333333,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track14/01_deployed_t0.wav,hardlink,audio_midi_t0/track14/02_matched_t0.wav,hardlink,audio_midi_t0/track14/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track14/04_original_beta_midi.midi,hardlink,audio_midi_t0/track14/05_stacked_sync_check.png,hardlink
track15,wtc1p03,wtc1p03,cut-ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--1.wav,cut-ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--1.midi,0.99075,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track15/01_deployed_t0.wav,hardlink,audio_midi_t0/track15/02_matched_t0.wav,hardlink,audio_midi_t0/track15/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track15/04_original_beta_midi.midi,hardlink,audio_midi_t0/track15/05_stacked_sync_check.png,hardlink
track16,wtc1f05,wtc1f05,cut-MIDI-Unprocessed_18_R1_2011_MID--AUDIO_R1-D7_07_Track07_wav.wav,cut-MIDI-Unprocessed_18_R1_2011_MID--AUDIO_R1-D7_07_Track07_wav.midi,1.222125,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track16/01_deployed_t0.wav,hardlink,audio_midi_t0/track16/02_matched_t0.wav,hardlink,audio_midi_t0/track16/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track16/04_original_beta_midi.midi,hardlink,audio_midi_t0/track16/05_stacked_sync_check.png,hardlink
track17,wtc2f07,wtc2f07,cut-MIDI-Unprocessed_061_PIANO061_MID--AUDIO-split_07-07-17_Piano-e_2-05_wav--1.wav,cut-MIDI-Unprocessed_061_PIANO061_MID--AUDIO-split_07-07-17_Piano-e_2-05_wav--1.midi,1.99295833333333,midi_pending_confirmation,audio_aligned_midi_pending_confirmation,midi_needs_replacement_or_resplit; available wtc2f07 candidates much longer than deployed audio,audio_midi_t0/track17/01_deployed_t0.wav,hardlink,audio_midi_t0/track17/02_matched_t0.wav,hardlink,audio_midi_t0/track17/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track17/04_original_beta_midi.midi,hardlink,audio_midi_t0/track17/05_stacked_sync_check.png,hardlink
track18,wtc2p01,wtc2p01,cut-MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--1.wav,cut-MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--1.midi,0.9896041666666668,midi_pending_confirmation,pending_confirmation,,audio_midi_t0/track18/01_deployed_t0.wav,hardlink,audio_midi_t0/track18/02_matched_t0.wav,hardlink,audio_midi_t0/track18/03_beta_midi_piano_t0.wav,hardlink,audio_midi_t0/track18/04_original_beta_midi.midi,hardlink,audio_midi_t0/track18/05_stacked_sync_check.png,hardlink
