stim_name,wtc_code,analysis_window_start_s,analysis_window_end_s,n_participants,n_raw_taps_window,n_filtered_taps_window,tap_retention_after_mad,n_filtered_kde_peaks,n_optimized_beats,optimized_beat_cv_ioi,optimized_median_ioi_s,optimized_tempo_bpm,optimizer_label,optimizer_path,bimodal_score,grid_extension_activated,midi_onset_f_measure_diagnostic,click_preview_path
track1,wtc1p15,0.0,30.0,11,770,600,0.7792207792207793,68,84,0.17237297577545221,0.3549989280568049,169.01459485646433,balanced,bimodal_fallback|high_cv_balanced_lambdas|chose_balanced|GE_not_activated:fit_quality_too_low,0.0563,False,0.38181818181818183,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track1_crowd_grid_clicks_first30s.wav
track10,wtc1p03,0.0,30.0,13,816,666,0.8161764705882353,52,79,0.11481425839659458,0.3666948675362711,163.62377909220444,std,high_cv_balanced_lambdas|GE_not_activated:fit_quality_too_low,0.0545,False,0.3752969121140143,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track10_crowd_grid_clicks_first30s.wav
track11,wtc1p15,0.0,30.0,11,761,607,0.797634691195795,68,87,0.14922974355104318,0.33125855652766667,181.12739676503665,balanced,bimodal_fallback|high_cv_balanced_lambdas|chose_balanced|GE_not_activated:fit_quality_too_low,0.015,False,0.38839285714285715,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track11_crowd_grid_clicks_first30s.wav
track12,wtc1p04,0.0,30.0,12,382,270,0.7068062827225131,53,46,0.16884154658883774,0.6219885984477287,96.46479075298089,monoA,bimodal|chose_monoA|high_cv_balanced_lambdas|GE_not_activated:fit_quality_too_low,0.1348,False,0.20512820512820512,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track12_crowd_grid_clicks_first30s.wav
track13,wtc1p15,0.0,30.0,11,676,524,0.7751479289940828,62,71,0.22467137722803682,0.39661502007983707,151.28020110766917,std,bimodal_fallback|high_cv_balanced_lambdas|GE_not_activated:grid_coverage_too_low,0.0378,False,0.3240740740740741,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track13_crowd_grid_clicks_first30s.wav
track14,wtc1p17,0.0,30.0,12,752,546,0.726063829787234,56,61,1.9147520804987563e-15,0.49724050513014717,120.66595416295715,std+GE,high_cv_balanced_lambdas|GE_applied,0.0,True,0.3247863247863248,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track14_crowd_grid_clicks_first30s.wav
track15,wtc1p03,0.0,30.0,12,929,834,0.8977395048439182,54,62,0.17782074677472834,0.46000545793465264,130.4332350085365,balanced,bimodal_fallback|high_cv_balanced_lambdas|chose_balanced|GE_not_activated:grid_coverage_too_low,0.0109,False,0.28054298642533937,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track15_crowd_grid_clicks_first30s.wav
track16,wtc1f05,0.0,30.0,11,675,480,0.7111111111111111,59,63,0.10196298501662009,0.4749998690713255,126.31582429129145,balanced,high_cv_balanced_lambdas|chose_balanced|GE_not_activated:fit_quality_too_low,0.0424,False,0.24334600760456274,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track16_crowd_grid_clicks_first30s.wav
track17,wtc2f07,0.0,30.0,12,369,270,0.7317073170731707,59,73,0.11157013834976894,0.39750185126582593,150.94269324515804,balanced,high_cv_balanced_lambdas|chose_balanced|GE_not_activated:region_not_meaningfully_better,0.0249,False,0.28712871287128716,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track17_crowd_grid_clicks_first30s.wav
track18,wtc2p01,0.0,30.0,10,488,345,0.7069672131147541,55,57,0.047849811925589035,0.5197862377640865,115.43206734002062,std,bimodal|bimodal_no_improvement|GE_rejected_worse,0.1635,True,0.2705314009661836,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track18_crowd_grid_clicks_first30s.wav
track19,wtc1p03,0.0,30.0,12,866,811,0.9364896073903002,46,48,0.07245896975190522,0.6437774817226316,93.19990478612408,std,bimodal|high_cv_balanced_lambdas|GE_not_activated:fit_quality_too_low,0.132,False,0.21510297482837526,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track19_crowd_grid_clicks_first30s.wav
track2,wtc1p15,0.0,30.0,12,1040,836,0.8038461538461539,74,94,0.1267649259197076,0.31055480964379,193.2026107366384,std,high_cv_balanced_lambdas|GE_not_activated:fit_quality_too_low,0.0322,False,0.38912133891213385,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track2_crowd_grid_clicks_first30s.wav
track20,wtc2p24,0.0,30.0,12,755,497,0.6582781456953642,60,64,4.1656909878543195e-15,0.46762333092545383,128.30839701957663,balanced+GE,high_cv_balanced_lambdas|chose_balanced|GE_applied,0.0,True,0.19402985074626863,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track20_crowd_grid_clicks_first30s.wav
track21,wtc1f05,0.0,30.0,13,549,431,0.785063752276867,46,48,0.11401059338272382,0.617554114406154,97.1574775397563,balanced,high_cv_balanced_lambdas|chose_balanced|GE_not_activated:fit_quality_too_low,0.0968,False,0.25,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track21_crowd_grid_clicks_first30s.wav
track22,wtc2f07,0.0,30.0,11,395,271,0.6860759493670886,53,51,0.11330330808278034,0.6024992071719435,99.58519328453983,monoA,bimodal|chose_monoA|high_cv_balanced_lambdas|GE_rejected_worse,0.2141,True,0.06694560669456066,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/analysis/beta_globaltap_canonical/click_previews_first30s/track22_crowd_grid_clicks_first30s.wav
