stim_name,n_participants_total,sample_size,kde_curve_r_to_full_mean,peak_f_to_full_mean
track1,11,2,0.5990311133685803,0.6050696117377279
track1,11,3,0.692812199375025,0.6546680300652582
track1,11,4,0.7716968952929781,0.7150371807415
track1,11,5,0.827362378899588,0.7634754450837801
track1,11,11,1.0,1.0
track10,13,2,0.6516629118926497,0.5912371654196454
track10,13,3,0.7336694225262446,0.6424180326283288
track10,13,4,0.7966388851643376,0.6879130600955259
track10,13,5,0.841121267457738,0.7233481258371768
track10,13,6,0.87882845426489,0.762004531098987
track10,13,13,1.0,1.0
track11,11,2,0.6317293005788095,0.6572521447716383
track11,11,3,0.7232694932801772,0.7117590432178653
track11,11,4,0.7955187128068428,0.7602463965123739
track11,11,5,0.8384254152125064,0.7949357371995701
track11,11,11,0.9999999999999999,1.0
track12,12,2,0.5631898841873747,0.6040852984383592
track12,12,3,0.6566998945429157,0.6728002445692809
track12,12,4,0.7289812352582924,0.7142151356011182
track12,12,5,0.7910856831198734,0.759305414971654
track12,12,6,0.8373129661354585,0.7956228238371941
track12,12,12,1.0,1.0
track13,11,2,0.6848937498301484,0.6551416933005513
track13,11,3,0.77962610262553,0.7197930095686619
track13,11,4,0.835831051492477,0.768299996503944
track13,11,5,0.8736595066031849,0.7992390917079467
track13,11,11,1.0,1.0
track14,12,2,0.711134647572718,0.7643030138594209
track14,12,3,0.805878744295508,0.8541756597532049
track14,12,4,0.8583973396908491,0.8959163173046301
track14,12,5,0.8935741257977198,0.922381194549977
track14,12,6,0.9208106020070381,0.9412865510472349
track14,12,12,1.0,1.0
track15,12,2,0.6735000753682361,0.582529937962195
track15,12,3,0.7557172129629134,0.6532798848817589
track15,12,4,0.8192818017373557,0.6915730785079532
track15,12,5,0.8632440560520226,0.7473686988219884
track15,12,6,0.8967042524984543,0.7855795257368863
track15,12,12,1.0,1.0
track16,11,2,0.7259169846080122,0.7201138917833468
track16,11,3,0.8060794557440514,0.8029391185991179
track16,11,4,0.8608704977874669,0.8516462579633298
track16,11,5,0.9027358628768404,0.8933645071464267
track16,11,11,1.0,1.0
track17,12,2,0.6345986220847272,0.5995205894631739
track17,12,3,0.7221463874869233,0.6959860311447039
track17,12,4,0.7925784854084928,0.7445221937672162
track17,12,5,0.8372516471066951,0.7771860792033413
track17,12,6,0.8884899625526228,0.8148701217904726
track17,12,12,1.0,1.0
track18,10,2,0.6863098469734291,0.704692528631576
track18,10,3,0.7841033684670922,0.7830238201399127
track18,10,4,0.8493645522651724,0.8231073286377543
track18,10,5,0.8848410749497403,0.8626485806310452
track18,10,10,1.0,1.0
track19,12,2,0.6507000047918112,0.5498628218195472
track19,12,3,0.7299411769743526,0.6084939890543793
track19,12,4,0.7923924162499696,0.6534795626413242
track19,12,5,0.8407559461023061,0.7052659061717059
track19,12,6,0.8822715693529165,0.752011729213115
track19,12,12,1.0,1.0
track2,12,2,0.7172139713059701,0.67545083514082
track2,12,3,0.8145611976470232,0.741001155124936
track2,12,4,0.8661425670312803,0.7836198720901361
track2,12,5,0.8992929033919816,0.8146036079693758
track2,12,6,0.9222088867363493,0.838866428810154
track2,12,12,1.0,1.0
track20,12,2,0.6895524294323345,0.7380229435784593
track20,12,3,0.7870366771978091,0.8032828888383889
track20,12,4,0.8285396772254494,0.812715020225447
track20,12,5,0.880163989313142,0.8615353886691395
track20,12,6,0.9078524566222816,0.883908187921443
track20,12,12,0.9999999999999999,1.0
track21,13,2,0.5870800019137377,0.5327458449754667
track21,13,3,0.6711877011094927,0.5865879412607583
track21,13,4,0.7527154830057309,0.6514326347122348
track21,13,5,0.804129873837312,0.7103728205045096
track21,13,6,0.8379039734717165,0.7529178935013907
track21,13,13,0.9999999999999998,1.0
track22,11,2,0.6004239585812698,0.6405213547457145
track22,11,3,0.7289691002127179,0.7173295678520847
track22,11,4,0.8072191823582525,0.762836503013958
track22,11,5,0.848268089747678,0.7958653222989287
track22,11,11,1.0,1.0
track23,11,2,0.6793053001806899,0.592347107517301
track23,11,3,0.7687639528357124,0.6534227155982694
track23,11,4,0.8307460669518517,0.7050340609679061
track23,11,5,0.8717247526583773,0.7662257864692745
track23,11,11,0.9999999999999999,1.0
track24,11,2,0.6585191869795451,0.6992390488455393
track24,11,3,0.7515694487603588,0.768648674700604
track24,11,4,0.8246004357671636,0.8191808729439606
track24,11,5,0.8649535270874757,0.8507737893994118
track24,11,11,1.0,1.0
track3,12,2,0.7155956202565367,0.6692855688724612
track3,12,3,0.7982200179114145,0.7574994514710716
track3,12,4,0.8505347845872703,0.7928828092607063
track3,12,5,0.8875101431599988,0.8382127580303377
track3,12,6,0.9201168861906958,0.8700668706611894
track3,12,12,0.9999999999999998,1.0
track4,11,2,0.600339562605186,0.5985223613894128
track4,11,3,0.7112572528535145,0.6858529819728381
track4,11,4,0.7683995714444204,0.7463479911767513
track4,11,5,0.826898476611888,0.794390053267139
track4,11,11,0.9999999999999998,1.0
track5,11,2,0.60074336165835,0.6402495998475147
track5,11,3,0.7119751550846716,0.7132628127711197
track5,11,4,0.7695005007636534,0.7592167475801855
track5,11,5,0.823486662604806,0.7915231028021849
track5,11,11,0.9999999999999998,1.0
track6,12,2,0.5361901906042995,0.5013053415723724
track6,12,3,0.6230318380273999,0.5651733158966912
track6,12,4,0.7049700525325039,0.6264933282829226
track6,12,5,0.76890043548802,0.6747000306558715
track6,12,6,0.8182802471180327,0.724486959486704
track6,12,12,1.0,1.0
track7,12,2,0.7855366685212567,0.8598805203317785
track7,12,3,0.8626806179126356,0.9253369723799963
track7,12,4,0.8995609155678431,0.9500034554534551
track7,12,5,0.9299194714466562,0.9624826579159059
track7,12,6,0.9522435724821006,0.9718345888615894
track7,12,12,1.0,1.0
track8,11,2,0.787580221788721,0.7714192962841842
track8,11,3,0.8668392311138146,0.8486455703217356
track8,11,4,0.9077481006224507,0.8847204379668687
track8,11,5,0.933230236878543,0.9042568903895504
track8,11,11,1.0,1.0
track9,11,2,0.7539969460885064,0.7333812244296538
track9,11,3,0.8215122263381899,0.7805798132130798
track9,11,4,0.8776177427722942,0.8267141223811081
track9,11,5,0.9080802813247582,0.8474818251613577
track9,11,11,1.0,1.0
