stim_name,wtc_code,comparison,precision,recall,f_measure,matches,n_est,n_ref
track1,wtc1p15,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,1.0,0.23595505617977527,0.38181818181818183,84,84,356
track10,wtc1p03,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,1.0,0.2309941520467836,0.3752969121140143,79,79,342
track11,wtc1p15,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,1.0,0.2409972299168975,0.38839285714285715,87,87,361
track12,wtc1p04,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.34782608695652173,0.14545454545454545,0.20512820512820512,16,46,110
track13,wtc1p15,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.9859154929577465,0.19390581717451524,0.3240740740740741,70,71,361
track14,wtc1p17,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.9344262295081968,0.19655172413793104,0.3247863247863248,57,61,290
track15,wtc1p03,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,1.0,0.1631578947368421,0.28054298642533937,62,62,380
track16,wtc1f05,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.5079365079365079,0.16,0.24334600760456274,32,63,200
track17,wtc2f07,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.3972602739726027,0.2248062015503876,0.28712871287128716,29,73,129
track18,wtc2p01,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.49122807017543857,0.18666666666666668,0.2705314009661836,28,57,150
track19,wtc1p03,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.9791666666666666,0.12082262210796915,0.21510297482837526,47,48,389
track2,wtc1p15,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.9893617021276596,0.2421875,0.38912133891213385,93,94,384
track20,wtc2p24,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.40625,0.12745098039215685,0.19402985074626863,26,64,204
track21,wtc1f05,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.5,0.16666666666666666,0.25,24,48,144
track22,wtc2f07,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.1568627450980392,0.0425531914893617,0.06694560669456066,8,51,188
track23,wtc1p03,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,1.0,0.12096774193548387,0.2158273381294964,45,45,372
track24,wtc1p17,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.8888888888888888,0.18045112781954886,0.3,48,54,266
track3,wtc2f06,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.39285714285714285,0.1437908496732026,0.21052631578947367,22,56,153
track4,wtc2f06,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.39655172413793105,0.1393939393939394,0.2062780269058296,23,58,165
track5,wtc2p01,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.5,0.1958041958041958,0.2814070351758794,28,56,143
track6,wtc1p04,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.46938775510204084,0.17164179104477612,0.25136612021857924,23,49,134
track7,wtc2p24,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.7413793103448276,0.22872340425531915,0.34959349593495936,43,58,188
track8,wtc1f03,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.9230769230769231,0.1568627450980392,0.2681564245810056,48,52,306
track9,wtc1f03,optimized_crowd_beats_vs_midi_note_onsets_not_beat_reference,0.8833333333333333,0.20306513409961685,0.3302180685358255,53,60,261
