target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman_rho
istc_mean_max_unique_per_sec,mtb_pitch_std,2874,0.34242265015782236,7.207439096565268e-80,0.336055588846614,8.135635880306051e-77,0.336055588846614
istc_mean_max_unique_per_sec,mtb_n_note_onsets,2880,0.3325373558471084,2.5903599684265987e-75,0.3335589040800497,8.584910739071672e-76,0.3335589040800497
istc_mean_max_unique_per_sec,n_note_onsets,2880,0.33249347589580824,2.7159459364224694e-75,0.33334543908137976,1.0817087981590965e-75,0.33334543908137976
istc_mean_max_unique_per_sec,std_pitch,2809,0.3232888068340038,2.400359943962732e-69,0.31629742692345436,2.665780637146693e-66,0.31629742692345436
istc_mean_max_unique_per_sec,mtb_active_note_count,2880,0.33763736642581244,1.0013354684834229e-77,0.30675924718333913,8.351426509065329e-64,0.30675924718333913
istc_mean_max_unique_per_sec,active_note_count,2880,0.3372721389449258,1.4958591975427589e-77,0.30631497429970267,1.2890149042323696e-63,0.30631497429970267
istc_mean_max_unique_per_sec,mtb_ioi_mean_s,2809,-0.31625850111995585,2.770473684882452e-66,-0.284189570481357,2.4685921044405193e-53,0.284189570481357
istc_mean_max_unique_per_sec,mean_midi_ioi_s,2809,-0.31597393046895045,3.6709752140942015e-66,-0.2839689390658305,2.9915634635294664e-53,0.2839689390658305
istc_mean_max_unique_per_sec,mir_roughness,2880,0.19294417099800265,1.4918002827054868e-25,0.22742113068639977,4.210310796509845e-35,0.22742113068639977
istc_mean_max_unique_per_sec,mtb_ioi_cv,2702,0.18685982511936478,1.1828036816266029e-22,0.22058436308928334,3.9300013968468567e-31,0.22058436308928334
istc_mean_max_unique_per_sec,cv_midi_ioi,2702,0.18626048385178112,1.6222549071981128e-22,0.22023309718005504,4.9033728925015e-31,0.22023309718005504
istc_mean_max_unique_per_sec,approx_polyphony,2874,-0.21795111257563188,3.018769311999824e-32,-0.19537765996781897,4.03476094964565e-26,0.19537765996781897
istc_mean_max_unique_per_sec,mtb_approx_polyphony,2880,-0.21354696117033006,4.681052729660951e-31,-0.18953771110628584,1.0628495454936248e-24,0.18953771110628584
istc_mean_max_unique_per_sec,mtb_duration_mean_s,2874,-0.22235279372749106,1.588618619612279e-33,-0.18224167977376401,6.9747255011849e-23,0.18224167977376401
istc_mean_max_unique_per_sec,mean_note_duration_s,2874,-0.22249308949983926,1.4447805523347294e-33,-0.18221040347093972,7.095011567425479e-23,0.18221040347093972
istc_mean_max_unique_per_sec,spectral_bandwidth_hz_mean,2880,-0.2166750086886028,6.057358484570324e-32,-0.17485816202465282,3.301624315945921e-21,0.17485816202465282
istc_mean_max_unique_per_sec,mtb_ioi_std_s,2809,0.058988171508085246,0.0017617678187013292,0.14308794951116846,2.5461403975577298e-14,0.14308794951116846
istc_mean_max_unique_per_sec,spectral_bandwidth_hz_std,2880,-0.1733974716155529,7.081745992721116e-21,-0.12322248626480538,3.239705118276378e-11,0.12322248626480538
istc_mean_max_unique_per_sec,mir_centroid,2880,-0.15367578358563205,1.105833090193303e-16,-0.10835543579546479,5.555732955149647e-09,0.10835543579546479
istc_mean_max_unique_per_sec,zero_crossing_rate_mean,2880,0.10246963461228728,3.5635015099038926e-08,0.10547827102112411,1.3955472119063646e-08,0.10547827102112411
istc_mean_max_unique_per_sec,onset_strength_mean,2880,0.09309982794353759,5.587212452191076e-07,0.10485905130238193,1.6961664122394903e-08,0.10485905130238193
istc_mean_max_unique_per_sec,spectral_rolloff_hz_std,2880,-0.09763954829617119,1.5196573631735711e-07,-0.10078272171402072,5.9590744864935e-08,0.10078272171402072
istc_mean_max_unique_per_sec,rms_mean,2880,0.11764322253474353,2.409737590499951e-10,0.10042798763384599,6.632575068047733e-08,0.10042798763384599
istc_mean_max_unique_per_sec,spectral_centroid_hz_std,2880,-0.14536865431684368,4.520198019221544e-15,-0.09577007603930475,2.6164241960640623e-07,0.09577007603930475
istc_mean_max_unique_per_sec,mir_rms,2880,0.10681736689817925,9.117441395430447e-09,0.09148332348230787,8.756972334558046e-07,0.09148332348230787
istc_mean_max_unique_per_sec,spectral_centroid_hz_mean,2880,-0.11939681735728655,1.295248649817046e-10,-0.0815328610418252,1.1818575923308117e-05,0.0815328610418252
istc_mean_max_unique_per_sec,rms_std,2880,0.016666234279921,0.371280263458538,0.05289948348186024,0.00451644652816688,0.05289948348186024
