stim_name,wtc_code,window_start_s,window_end_s,window_center_s,optimizer_peak_density_per_s,optimizer_beat_density_per_s,optimizer_peak_coverage_70ms,optimizer_peak_to_grid_median_abs_error_ms,optimizer_peak_to_grid_mean_abs_error_ms
track1,wtc1p15,0.0,1.0,0.5,0.0,2.0,,,
track1,wtc1p15,0.25,1.25,0.75,0.0,3.0,,,
track1,wtc1p15,0.5,1.5,1.0,0.0,3.0,,,
track1,wtc1p15,0.75,1.75,1.25,0.0,2.0,,,
track1,wtc1p15,1.0,2.0,1.5,1.0,3.0,1.0,7.751896347052423e-05,7.751896347052423e-05
track1,wtc1p15,1.25,2.25,1.75,1.0,2.0,1.0,7.751896347052423e-05,7.751896347052423e-05
track1,wtc1p15,1.5,2.5,2.0,2.0,2.0,1.0,0.0004162180150535377,0.0004162180150535377
track1,wtc1p15,1.75,2.75,2.25,3.0,3.0,1.0,0.0007549170666365512,1.6657851585328103
track1,wtc1p15,2.0,3.0,2.5,2.0,2.0,1.0,2.49863897831748,2.49863897831748
track1,wtc1p15,2.25,3.25,2.75,2.0,3.0,1.0,2.49863897831748,2.49863897831748
track1,wtc1p15,2.5,3.5,3.0,2.0,3.0,1.0,4.998345934094983,4.998345934094983
track1,wtc1p15,2.75,3.75,3.25,1.0,2.0,1.0,5.000168828621643,5.000168828621643
track1,wtc1p15,3.0,4.0,3.5,2.0,3.0,1.0,3.3112084379032236,3.3112084379032236
track1,wtc1p15,3.25,4.25,3.75,2.0,2.0,1.0,3.3112084379032236,3.3112084379032236
track1,wtc1p15,3.5,4.5,4.0,2.0,2.0,1.0,0.813839438888575,0.813839438888575
track1,wtc1p15,3.75,4.75,4.25,2.0,2.0,1.0,0.813839438888575,0.813839438888575
track1,wtc1p15,4.0,5.0,4.5,2.0,2.0,1.0,0.002812074238356388,0.002812074238356388
track1,wtc1p15,4.25,5.25,4.75,3.0,3.0,1.0,0.00426851536161621,0.0032975546127763287
track1,wtc1p15,4.5,5.5,5.0,2.0,2.0,1.0,0.0022309166229916855,0.0022309166229916855
track1,wtc1p15,4.75,5.75,5.25,3.0,3.0,1.0,0.00019331788436716124,0.0015130643159129893
track1,wtc1p15,5.0,6.0,5.5,2.0,2.0,1.0,0.0021729375316859034,0.0021729375316859034
track1,wtc1p15,5.25,6.25,5.75,2.0,2.0,1.0,2.501669486922431,2.501669486922431
track1,wtc1p15,5.5,6.5,6.0,2.0,3.0,1.0,2.501669486922431,2.501669486922431
track1,wtc1p15,5.75,6.75,6.25,1.0,2.0,1.0,5.003261614143106,5.003261614143106
track1,wtc1p15,6.0,7.0,6.5,2.0,3.0,1.0,4.99993913328467,4.99993913328467
track1,wtc1p15,6.25,7.25,6.75,1.0,2.0,1.0,4.996616652426233,4.996616652426233
track1,wtc1p15,6.5,7.5,7.0,2.0,2.0,1.0,2.498335656622608,2.498335656622608
track1,wtc1p15,6.75,7.75,7.25,2.0,2.0,1.0,2.498335656622608,2.498335656622608
track1,wtc1p15,7.0,8.0,7.5,2.0,2.0,1.0,2.4988681693423054,2.4988681693423054
track1,wtc1p15,7.25,8.25,7.75,2.0,3.0,1.0,2.4988681693423054,2.4988681693423054
track1,wtc1p15,7.5,8.5,8.0,1.0,2.0,1.0,4.997681677865629,4.997681677865629
track1,wtc1p15,7.75,8.75,8.25,2.0,3.0,1.0,4.998674792400237,4.998674792400237
track1,wtc1p15,8.0,9.0,8.5,1.0,2.0,1.0,4.999667906934846,4.999667906934846
track1,wtc1p15,8.25,9.25,8.75,2.0,2.0,1.0,2.4999335642812426,2.4999335642812426
track1,wtc1p15,8.5,9.5,9.0,2.0,2.0,1.0,2.4999335642812426,2.4999335642812426
track1,wtc1p15,8.75,9.75,9.25,2.0,2.0,1.0,0.00015539070563619362,0.00015539070563619362
track1,wtc1p15,9.0,10.0,9.5,2.0,2.0,1.0,0.00015539070563619362,0.00015539070563619362
track1,wtc1p15,9.25,10.25,9.75,2.0,2.0,1.0,2.2228827646939564,2.2228827646939564
track1,wtc1p15,9.5,10.5,10.0,2.0,3.0,1.0,2.2228827646939564,2.2228827646939564
track1,wtc1p15,9.75,10.75,10.25,2.0,3.0,1.0,2.2237858582583314,2.2237858582583314
track1,wtc1p15,10.0,11.0,10.5,2.0,3.0,1.0,2.2237858582583314,2.2237858582583314
track1,wtc1p15,10.25,11.25,10.75,1.0,3.0,1.0,0.0019177469123832225,0.0019177469123832225
track1,wtc1p15,10.5,11.5,11.0,2.0,3.0,1.0,0.1410105331176581,0.1410105331176581
track1,wtc1p15,10.75,11.75,11.25,2.0,3.0,1.0,0.14232314950124447,0.14232314950124447
track1,wtc1p15,11.0,12.0,11.5,3.0,4.0,1.0,0.00454297967955597,0.09544758485920586
track1,wtc1p15,11.25,12.25,11.75,3.0,3.0,1.0,0.00454297967955597,0.09544758485920586
track1,wtc1p15,11.5,12.5,12.0,3.0,3.0,1.0,0.004084220339706235,0.003441218531463619
track1,wtc1p15,11.75,12.75,12.25,3.0,3.0,1.0,0.0016964555751286525,0.0024022258765891515
track1,wtc1p15,12.0,13.0,12.5,3.0,3.0,1.0,0.0014260017149325677,0.0020853652014096724
track1,wtc1p15,12.25,13.25,12.75,3.0,3.0,1.0,0.0014260017149325677,0.0020853652014096724
track1,wtc1p15,12.5,13.5,13.0,3.0,3.0,1.0,0.000946519989497574,0.0010394650846734521
track1,wtc1p15,12.75,13.75,13.25,3.0,3.0,1.0,0.0007458735495902147,0.0006473169928966627
track1,wtc1p15,13.0,14.0,13.5,2.0,2.0,1.0,0.0005980387145498867,0.0005980387145498867
track1,wtc1p15,13.25,14.25,13.75,3.0,3.0,1.0,0.00024955743960219934,0.00042571508747831405
track1,wtc1p15,13.5,14.5,14.0,3.0,3.0,1.0,0.00024955743960219934,0.0027897335375115517
track1,wtc1p15,13.75,14.75,14.25,3.0,3.0,1.0,0.005490170321920118,0.004536604498284191
track1,wtc1p15,14.0,15.0,14.5,3.0,3.0,1.0,0.005490170321920118,0.004536604498284191
track1,wtc1p15,14.25,15.25,14.75,3.0,3.0,1.0,0.005490170321920118,0.004769117323277783
track1,wtc1p15,14.5,15.5,15.0,3.0,3.0,1.0,0.0007786063083159434,0.002094063612882261
track1,wtc1p15,14.75,15.75,15.25,3.0,3.0,1.0,0.0007786063083159434,1.6664891141028686
track1,wtc1p15,15.0,16.0,15.5,3.0,3.0,1.0,0.0007786063083159434,1.6664891141028686
track1,wtc1p15,15.25,16.25,15.75,2.0,3.0,1.0,2.499344368000145,2.499344368000145
track1,wtc1p15,15.5,16.5,16.0,2.0,3.0,1.0,4.679939759562934,4.679939759562934
track1,wtc1p15,15.75,16.75,16.25,2.0,3.0,1.0,2.1813286394767317,2.1813286394767317
track1,wtc1p15,16.0,17.0,16.5,2.0,3.0,1.0,2.1813286394767317,2.1813286394767317
track1,wtc1p15,16.25,17.25,16.75,3.0,3.0,1.0,4.36120419733399,3.1196756075691687
track1,wtc1p15,16.5,17.5,17.0,2.0,3.0,1.0,2.498911312686758,2.498911312686758
track1,wtc1p15,16.75,17.75,17.25,2.0,3.0,1.0,2.499830843051498,2.499830843051498
track1,wtc1p15,17.0,18.0,17.5,2.0,4.0,1.0,2.499830843051498,2.499830843051498
track1,wtc1p15,17.25,18.25,17.75,1.0,3.0,1.0,0.0032921423489540302,0.0032921423489540302
track1,wtc1p15,17.5,18.5,18.0,2.0,3.0,1.0,2.50179576632803,2.50179576632803
track1,wtc1p15,17.75,18.75,18.25,2.0,3.0,1.0,2.501048165205688,2.501048165205688
track1,wtc1p15,18.0,19.0,18.5,3.0,3.0,1.0,0.0017969401042705613,1.6676655719329858
track1,wtc1p15,18.25,19.25,18.75,3.0,3.0,1.0,0.0017969401042705613,1.6676655719329858
track1,wtc1p15,18.5,19.5,19.0,3.0,3.0,1.0,0.0013189540908342678,0.0013387598608953037
track1,wtc1p15,18.75,19.75,19.25,3.0,3.0,1.0,0.0009003853875810819,0.0007743731191093653
track1,wtc1p15,19.0,20.0,19.5,3.0,3.0,1.0,0.0013189540908342678,0.001191213513607181
track1,wtc1p15,19.25,20.25,19.75,4.0,4.0,1.0,0.0007113669848735071,0.000919346979877389
track1,wtc1p15,19.5,20.5,20.0,3.0,3.0,1.0,0.00010377987891274643,0.0007861446095584294
track1,wtc1p15,19.75,20.75,20.25,3.0,3.0,1.0,0.00013647209939904315,0.000797042016387195
track1,wtc1p15,20.0,21.0,20.5,3.0,3.0,1.0,0.00013647209939904315,1.5981847467164318
track1,wtc1p15,20.25,21.25,20.75,2.0,2.0,1.0,2.397225246385304,2.397225246385304
track1,wtc1p15,20.5,21.5,21.0,2.0,3.0,1.0,2.397225246385304,2.397225246385304
track1,wtc1p15,20.75,21.75,21.25,2.0,3.0,1.0,2.397618287622194,2.397618287622194
