wtc_code,n_performances,stim_names,median_split_half_kde_r,median_sample_size_for_r90,tempo_range_bpm
wtc1f03,2,track8|track9,0.7532131453390719,4.5,15.863603207535803
wtc2p24,2,track20|track7,0.7460254359254246,5.5,10.660905159541926
wtc1p17,2,track14|track24,0.6371223521565227,8.5,10.57431496664033
wtc1p03,4,track10|track15|track19|track23,0.5893205655831726,12.0,73.40499822622358
wtc1f05,2,track16|track21,0.5777521897389553,9.0,29.158346751535134
wtc2f06,2,track3|track4,0.5743685489302363,8.5,4.531366229719779
wtc1p15,4,track1|track11|track13|track2,0.5544187678859223,11.0,41.922409628969234
wtc2f07,2,track17|track22,0.5414217944724886,11.5,51.3574999606182
wtc2p01,2,track18|track5,0.5253416375549432,10.5,4.321514552071989
wtc1p04,2,track12|track6,0.3657181413128314,12.0,2.2646342676348894
