stim_name,wtc_code,source_audio_path,duration_s,sample_rate,n_100ms_bins,status
track1,wtc1p15,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,51.6315,48000,517,exported
track10,wtc1p03,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track10/01_deployed_t0.wav,82.277375,48000,823,exported
track11,wtc1p15,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track11/01_deployed_t0.wav,48.85027083333333,48000,489,exported
track12,wtc1p04,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track12/01_deployed_t0.wav,155.84425,48000,1559,exported
track13,wtc1p15,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track13/01_deployed_t0.wav,50.04208333333333,48000,501,exported
track14,wtc1p17,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track14/01_deployed_t0.wav,69.8735625,48000,699,exported
track15,wtc1p03,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track15/01_deployed_t0.wav,72.13291666666667,48000,722,exported
track16,wtc1f05,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track16/01_deployed_t0.wav,105.27116666666667,48000,1053,exported
track17,wtc2f07,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track17/01_deployed_t0.wav,114.20110416666667,48000,1143,exported
track18,wtc2p01,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track18/01_deployed_t0.wav,144.397875,48000,1444,exported
track19,wtc1p03,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track19/01_deployed_t0.wav,68.1815625,48000,682,exported
track2,wtc1p15,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track2/01_deployed_t0.wav,48.7654375,48000,488,exported
track20,wtc2p24,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track20/01_deployed_t0.wav,130.40152083333334,48000,1305,exported
track21,wtc1f05,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track21/01_deployed_t0.wav,136.40233333333333,48000,1365,exported
track22,wtc2f07,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track22/01_deployed_t0.wav,89.98777083333333,48000,900,exported
track23,wtc1p03,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track23/01_deployed_t0.wav,72.97979166666667,48000,730,exported
track24,wtc1p17,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track24/01_deployed_t0.wav,74.96877083333334,48000,750,exported
track3,wtc2f06,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track3/01_deployed_t0.wav,120.05535416666666,48000,1201,exported
track4,wtc2f06,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track4/01_deployed_t0.wav,115.58889583333334,48000,1156,exported
track5,wtc2p01,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track5/01_deployed_t0.wav,151.49116666666666,48000,1515,exported
track6,wtc1p04,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track6/01_deployed_t0.wav,152.92272916666667,48000,1530,exported
track7,wtc2p24,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track7/01_deployed_t0.wav,147.1345,48000,1472,exported
track8,wtc1f03,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track8/01_deployed_t0.wav,128.96241666666666,48000,1290,exported
track9,wtc1f03,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track9/01_deployed_t0.wav,148.15585416666667,48000,1482,exported
