stim_name,wtc_code,duration_s,n_100ms_bins,n_midi_notes,n_taps,n_tappers
track1,wtc1p15,51.6315,517,606,1360,11
track10,wtc1p03,82.277375,823,810,2389,13
track11,wtc1p15,48.85027083333333,489,612,1311,11
track12,wtc1p04,155.84425,1559,664,2232,12
track13,wtc1p15,50.04208333333333,501,608,1168,11
track14,wtc1p17,69.8735625,699,683,1847,12
track15,wtc1p03,72.13291666666667,722,810,2262,12
track16,wtc1f05,105.27116666666667,1053,777,2309,11
track17,wtc2f07,114.20110416666668,1143,691,1793,12
track18,wtc2p01,144.397875,1444,834,2548,10
track19,wtc1p03,68.1815625,682,811,2075,12
track2,wtc1p15,48.7654375,488,611,1704,12
track20,wtc2p24,130.40152083333334,1305,876,3272,12
track21,wtc1f05,136.40233333333333,1365,793,2713,13
track22,wtc2f07,89.98777083333333,900,704,1360,11
track23,wtc1p03,72.97979166666667,730,810,1874,11
track24,wtc1p17,74.96877083333334,750,675,1615,11
track3,wtc2f06,120.05535416666666,1201,799,3749,12
track4,wtc2f06,115.58889583333334,1156,802,2332,11
track5,wtc2p01,151.49116666666666,1515,834,2413,11
track6,wtc1p04,152.92272916666667,1530,722,2256,12
track7,wtc2p24,147.1345,1472,895,2908,12
track8,wtc1f03,128.96241666666666,1290,1433,2534,11
track9,wtc1f03,148.15585416666667,1482,1429,3085,11
