target,feature,posterior_mean_beta,posterior_sd,posterior_p_beta_gt_0,posterior_p_direction,abs_posterior_mean_beta
tap_count_100ms,midi_pitch_mean,-0.0459285597410233,0.0265739132115607,0.0432,0.9568,0.0459285597410233
tap_count_100ms,midi_pitch_std,0.0506069403323607,0.0328264664841872,0.93755,0.93755,0.0506069403323607
tap_count_100ms,midi_velocity_std,0.0169967043668682,0.0297644062169738,0.70895,0.70895,0.0169967043668682
tap_count_100ms,midi_velocity_mean,0.0123956467409688,0.0363207629866644,0.6325,0.6325,0.0123956467409688
tap_count_100ms,midi_pitch_min,0.0464669831479671,0.5628277688402692,0.5282,0.5282,0.0464669831479671
tap_count_100ms,midi_pitch_max,0.026709889699021,0.5092232044033423,0.5131,0.5131,0.026709889699021
tap_count_100ms,midi_pitch_range,-0.0192864059224877,0.6511047357115267,0.48765,0.51235,0.0192864059224877
tap_count_100ms,midi_velocity_min,0.0019790217678252,0.6641102775746607,0.5034,0.5034,0.0019790217678252
tap_count_100ms,midi_velocity_max,0.0010707210910561,0.6158302833583795,0.4981,0.5019,0.0010707210910561
tap_count_100ms,midi_note_onset_count_100ms,0.0007114183737332,0.7066574544024534,0.4992,0.5008,0.0007114183737332
tap_count_100ms,midi_active_note_count,0.0043092791718319,0.7066787799818847,0.49925,0.50075,0.0043092791718319
tap_count_100ms,midi_velocity_range,-0.0010931869638875,0.7675845561046309,0.5,0.5,0.0010931869638875
