target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_fdr_q,abs_spearman_rho
tap_count_100ms,midi_active_note_count,24816,0.0322912109614727,3.619822079289347e-07,0.0377246803648643,2.7709676346710054e-09,1.8703254266533135e-08,0.0377246803648643
tap_count_100ms,midi_note_onset_count_100ms,24816,0.0181038946290102,0.0043443219811992,0.0371093300132398,4.987534471075503e-09,1.8703254266533135e-08,0.0371093300132398
tap_count_100ms,midi_velocity_std,24131,0.02625440939561,4.5250723696917235e-05,0.0297931088139012,3.676208801354567e-06,1.1807971074622246e-05,0.0297931088139012
tap_count_100ms,midi_velocity_range,24131,0.0232811384743221,0.0002982316763515,0.0286264691409852,8.6850646077395e-06,1.977637604579973e-05,0.0286264691409852
tap_count_100ms,midi_pitch_std,24131,0.0321199719078194,6.019339094019923e-07,0.027459949571051,1.98781715097239e-05,3.727157158073231e-05,0.027459949571051
tap_count_100ms,midi_pitch_range,24131,0.0284388159448266,9.943668776041344e-06,0.025836250479006,5.972226639427691e-05,9.953711065712816e-05,0.025836250479006
tap_count_100ms,midi_pitch_max,24131,0.0311400897682956,1.3097231467317317e-06,0.0244665007681431,0.0001440921126516,0.000221511400482,0.0244665007681431
tap_count_100ms,midi_velocity_max,24131,0.0289182925126154,7.025334769560151e-06,0.0178664251226699,0.0055120954730677,0.0077513842590015,0.0178664251226699
tap_count_100ms,midi_pitch_min,24131,-0.0047394810437119,0.4616063327482061,-0.0084790892509942,0.1878016256921308,0.2347520321151636,0.0084790892509942
tap_count_100ms,midi_velocity_mean,24131,0.0190308798520679,0.0031125201371661,0.0066592587475539,0.3009410183489537,0.3550444623385052,0.0066592587475539
tap_count_100ms,midi_velocity_min,24131,0.0058075374427851,0.3669969528472317,-0.0060714640464152,0.3456243723312653,0.3703118274977843,0.0060714640464152
tap_count_100ms,midi_pitch_mean,24131,0.0133657265062551,0.0378719469110829,0.0034846896274666,0.5883072145033145,0.6016778330147534,0.0034846896274666
