stim_name,emotion_term,n_bins,min_n_participants,max_n_participants,mean_n_participants
track1,calm,517,25,25,25.0
track1,energetic,517,22,22,22.0
track1,happy,517,26,26,26.0
track1,sad,517,28,28,28.0
track2,calm,488,25,25,25.0
track2,energetic,488,22,22,22.0
track2,happy,488,26,26,26.0
track2,sad,488,26,26,26.0
track3,calm,1201,27,27,27.0
track3,energetic,1201,23,23,23.0
track3,happy,1201,26,26,26.0
track3,sad,1201,27,27,27.0
track4,calm,1156,27,27,27.0
track4,energetic,1156,23,23,23.0
track4,happy,1156,25,25,25.0
track4,sad,1156,26,26,26.0
track5,calm,1515,25,25,25.0
track5,energetic,1515,23,23,23.0
track5,happy,1515,28,28,28.0
track5,sad,1515,26,26,26.0
track6,calm,1530,26,26,26.0
track6,energetic,1530,23,23,23.0
track6,happy,1530,27,27,27.0
track6,sad,1530,26,26,26.0
track7,calm,1472,27,27,27.0
track7,energetic,1472,23,23,23.0
track7,happy,1472,27,27,27.0
track7,sad,1472,27,27,27.0
track8,calm,1290,25,25,25.0
track8,energetic,1290,21,21,21.0
track8,happy,1290,26,26,26.0
track8,sad,1290,29,29,29.0
track9,calm,1482,25,25,25.0
track9,energetic,1482,22,22,22.0
track9,happy,1482,28,28,28.0
track9,sad,1482,26,26,26.0
track10,calm,823,25,25,25.0
track10,energetic,823,23,23,23.0
track10,happy,823,25,25,25.0
track10,sad,823,26,26,26.0
track11,calm,489,25,25,25.0
track11,energetic,489,21,21,21.0
track11,happy,489,25,25,25.0
track11,sad,489,26,26,26.0
track12,calm,1559,27,27,27.0
track12,energetic,1559,21,21,21.0
track12,happy,1559,26,26,26.0
track12,sad,1559,29,29,29.0
track13,calm,501,25,25,25.0
track13,energetic,501,22,22,22.0
track13,happy,501,25,25,25.0
track13,sad,501,26,26,26.0
track14,calm,699,25,25,25.0
track14,energetic,699,22,22,22.0
track14,happy,699,26,26,26.0
track14,sad,699,27,27,27.0
track15,calm,722,24,24,24.0
track15,energetic,722,23,23,23.0
track15,happy,722,27,27,27.0
track15,sad,722,27,27,27.0
track16,calm,1053,26,26,26.0
track16,energetic,1053,22,22,22.0
track16,happy,1053,25,25,25.0
track16,sad,1053,28,28,28.0
track17,calm,1143,28,28,28.0
track17,energetic,1143,22,22,22.0
track17,happy,1143,26,26,26.0
track17,sad,1143,27,27,27.0
track18,calm,1444,25,25,25.0
track18,energetic,1444,22,22,22.0
track18,happy,1444,26,26,26.0
track18,sad,1444,28,28,28.0
track19,calm,682,24,24,24.0
track19,energetic,682,22,22,22.0
track19,happy,682,25,25,25.0
track19,sad,682,26,26,26.0
track20,calm,1305,27,27,27.0
track20,energetic,1305,22,22,22.0
track20,happy,1305,27,27,27.0
track20,sad,1305,30,30,30.0
track21,calm,1365,26,26,26.0
track21,energetic,1365,22,22,22.0
track21,happy,1365,25,25,25.0
track21,sad,1365,26,26,26.0
track22,calm,900,26,26,26.0
track22,energetic,900,22,22,22.0
track22,happy,900,26,26,26.0
track22,sad,900,28,28,28.0
track23,calm,730,24,24,24.0
track23,energetic,730,21,21,21.0
track23,happy,730,25,25,25.0
track23,sad,730,27,27,27.0
track24,calm,750,25,25,25.0
track24,energetic,750,22,22,22.0
track24,happy,750,26,26,26.0
track24,sad,750,28,28,28.0
