emotion_term,target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_fdr_q,abs_spearman_rho
happy,rating_mean__happy,midi_velocity_min,24131,0.24598165960916255,0.0,0.2855492610493019,0.0,0.0,0.2855492610493019
happy,rating_mean__happy,midi_velocity_mean,24131,0.23188683928920487,5.61149822678336e-292,0.24838774834367822,0.0,0.0,0.24838774834367822
happy,rating_mean__happy,midi_note_onset_count_100ms,24816,0.19474431306797496,1.2187681923342766e-210,0.22858693959033063,1.4921143598840531e-291,9.450057612599003e-291,0.22858693959033063
happy,rating_mean__happy,tap_count_100ms,24816,0.2062986096093877,1.1114487654790003e-236,0.22090921281476966,5.939982790714253e-272,2.8214918255892703e-271,0.22090921281476966
happy,rating_mean__happy,audio100_zero_crossing_rate,24816,0.1374983922207717,5.249289944691447e-105,0.1767117548356081,3.259984800458202e-173,1.2387942241741167e-172,0.1767117548356081
happy,rating_mean__happy,midi_velocity_range,24131,-0.11966884481959247,1.1360468343238636e-77,-0.1676493654001723,1.2948080737785604e-151,4.100225566965441e-151,0.1676493654001723
happy,rating_mean__happy,midi_active_note_count,24816,-0.09963987204885418,8.741388454068397e-56,-0.15660178329854188,5.231896778505966e-136,1.4200862684516194e-135,0.15660178329854188
happy,rating_mean__happy,midi_velocity_max,24131,0.16025942866530518,1.5109109602790495e-138,0.1507331553612843,1.2985226619349047e-122,3.083991322095399e-122,0.1507331553612843
happy,rating_mean__happy,audio100_spectral_rolloff_hz,24816,0.04754478216491207,6.699182973761242e-14,0.14547049539742002,1.95887423816421e-117,4.1354011694577766e-117,0.14547049539742002
happy,rating_mean__happy,midi_velocity_std,24131,-0.09906458956625813,1.0943551099184358e-53,-0.14147424503749595,4.227730670852044e-108,8.032688274618884e-108,0.14147424503749595
happy,rating_mean__happy,midi_pitch_min,24131,0.09213935442543333,1.1810933411251018e-46,0.13119408388255405,4.208520389174011e-93,7.269262490391474e-93,0.13119408388255405
happy,rating_mean__happy,midi_pitch_mean,24131,0.1094012424637614,3.816601540955506e-65,0.12992680979865256,2.4672889303509815e-91,3.906540806389054e-91,0.12992680979865256
happy,rating_mean__happy,audio100_spectral_bandwidth_hz,24816,-0.07853374814189609,2.9600179988997216e-35,-0.10317385423066637,1.057830884829659e-59,1.5460605239818095e-59,0.10317385423066637
happy,rating_mean__happy,midi_pitch_max,24131,0.0882517656067375,6.243012882498681e-43,0.09749251027587047,4.79595991310144e-52,6.5088027392090974e-52,0.09749251027587047
happy,rating_mean__happy,audio100_spectral_centroid_hz,24816,0.03241525491277926,3.2646507602108897e-07,0.09532211271193688,3.467812477658062e-51,4.392562471700211e-51,0.09532211271193688
happy,rating_mean__happy,midi_pitch_range,24131,-0.013076539146199932,0.04222339602291259,-0.05106608488512162,2.0637522191220775e-15,2.450705760207467e-15,0.05106608488512162
happy,rating_mean__happy,audio100_onset_strength_proxy,24816,0.022059310239980097,0.0005103358352737989,0.04415109585589433,3.446316162711986e-12,3.851765123031043e-12,0.04415109585589433
happy,rating_mean__happy,audio100_rms,24816,0.05556048740618178,1.973029427505442e-18,0.04242735407611172,2.288909984056457e-11,2.4160716498373715e-11,0.04242735407611172
happy,rating_mean__happy,midi_pitch_std,24131,0.03708872044400925,8.258091941269197e-09,0.011550868291271481,0.07276580974281917,0.07276580974281917,0.011550868291271481
