level,emotion_term,term,coef,se,p_value,n_obs,n_groups
100ms_bin,happy,Intercept,0.16904738240062178,0.14415519515347888,0.24092563473484496,24131,24
100ms_bin,happy,midi_active_note_count,0.10318020101951593,0.005942117838292848,1.5399638053959976e-67,24131,24
100ms_bin,happy,midi_velocity_mean,0.011596269200114464,0.0074342116380592665,0.11879488178651318,24131,24
100ms_bin,happy,midi_pitch_mean,0.023600433113268576,0.005171966141273841,5.039290730851539e-06,24131,24
100ms_bin,happy,audio100_rms,0.008977865671148413,0.007853056616370745,0.25294227682730064,24131,24
100ms_bin,happy,audio100_spectral_centroid_hz,0.04353191588152439,0.01172603554818879,0.00020529062618611477,24131,24
100ms_bin,happy,audio100_spectral_bandwidth_hz,-0.09098617599573762,0.0134931907851823,1.550233358799054e-11,24131,24
100ms_bin,happy,tap_count_100ms,0.09847540765846668,0.004931271050863858,1.013032747546657e-88,24131,24
100ms_bin,happy,Group Var,0.9151069826952627,0.2681195623493374,0.0006423882682325109,24131,24
100ms_bin,happy,group_var (stim_name random intercept variance),0.4980771485847599,,,24131,24
100ms_bin,sad,Intercept,-0.240905416074625,0.16985389926682068,0.15610039488773603,24131,24
100ms_bin,sad,midi_active_note_count,0.08477516341509835,0.004348850409290054,1.2418209777353227e-84,24131,24
100ms_bin,sad,midi_velocity_mean,-0.04273899638764003,0.005441172207990952,4.0060029100930945e-15,24131,24
100ms_bin,sad,midi_pitch_mean,-0.010642825205807133,0.0037852738950806086,0.004928972804924018,24131,24
100ms_bin,sad,audio100_rms,0.03670776074552537,0.005747533723810684,1.6950618781391206e-10,24131,24
100ms_bin,sad,audio100_spectral_centroid_hz,0.06098219679452577,0.00858282150777383,1.2019572372922538e-12,24131,24
100ms_bin,sad,audio100_spectral_bandwidth_hz,-0.03475157155062023,0.009875462132722189,0.00043320641881992785,24131,24
100ms_bin,sad,tap_count_100ms,0.04256288617232851,0.0036089347082808605,4.203791123746408e-32,24131,24
100ms_bin,sad,Group Var,2.3739576839907985,0.7026296460039257,0.0007283588326741874,24131,24
100ms_bin,sad,group_var (stim_name random intercept variance),0.6920547406093894,,,24131,24
100ms_bin,calm,Intercept,-0.24883079534009134,0.17049869364160586,0.14444697647644442,24131,24
100ms_bin,calm,midi_active_note_count,0.10136952826366653,0.00512353629855308,4.0033555030650116e-87,24131,24
100ms_bin,calm,midi_velocity_mean,-0.061004286734468664,0.006410360606957363,1.7908577880444075e-21,24131,24
100ms_bin,calm,midi_pitch_mean,0.011508786407143782,0.00445960103442569,0.009860701153737841,24131,24
100ms_bin,calm,audio100_rms,0.019472458631272928,0.0067714352595627005,0.004031624126184093,24131,24
100ms_bin,calm,audio100_spectral_centroid_hz,0.06633062801383335,0.010111720763778295,5.3888492900026515e-11,24131,24
100ms_bin,calm,audio100_spectral_bandwidth_hz,0.01148645691905707,0.011634825924502656,0.32352114769255413,24131,24
100ms_bin,calm,tap_count_100ms,0.05184831560050126,0.0042519424321110205,3.344609482392473e-34,24131,24
100ms_bin,calm,Group Var,1.7229524219327494,0.5075305871925745,0.000686848871461773,24131,24
100ms_bin,calm,group_var (stim_name random intercept variance),0.6971844816177265,,,24131,24
100ms_bin,energetic,Intercept,0.2328933613680371,0.16321852979458476,0.15361430012082627,24131,24
100ms_bin,energetic,midi_active_note_count,0.062411568901145076,0.0051651547943511724,1.2958584816891674e-33,24131,24
100ms_bin,energetic,midi_velocity_mean,0.06475861814888247,0.006462264681704204,1.231986321117227e-23,24131,24
100ms_bin,energetic,midi_pitch_mean,0.01561074003942927,0.00449572832393646,0.0005159241775432296,24131,24
100ms_bin,energetic,audio100_rms,-0.026155437944457956,0.00682618338774379,0.00012729489141112194,24131,24
100ms_bin,energetic,audio100_spectral_centroid_hz,0.032906109676611645,0.010193196619958366,0.001245533752049476,24131,24
100ms_bin,energetic,audio100_spectral_bandwidth_hz,-0.17677367416270304,0.01172879224238806,2.483639882313888e-51,24131,24
100ms_bin,energetic,tap_count_100ms,0.095371831699187,0.004286400363926578,1.1313141561921898e-109,24131,24
100ms_bin,energetic,Group Var,1.5535502076859673,0.4569511129858857,0.0006743094178825309,24131,24
100ms_bin,energetic,group_var (stim_name random intercept variance),0.6388681114545648,,,24131,24
