emotion_term,term,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,n_obs,n_tracks,n_participants,max_rhat
happy,beta[istc_mean_max_unique_per_sec],0.131,0.138,-0.09,0.35,3047,2546,1.00,0.0025,0.0019,624,24,52,1.006612424020314
happy,beta[notedensity_per_s],1.048,0.184,0.76,1.3,2712,2536,1.00,0.0036,0.0028,624,24,52,1.006612424020314
happy,beta[pitch_mean],0.216,0.145,-0.015,0.44,3432,3001,1.00,0.0025,0.0021,624,24,52,1.006612424020314
happy,beta[rhythm_tempo_Mean],-0.252,0.164,-0.51,0.0086,3061,2968,1.00,0.003,0.0023,624,24,52,1.006612424020314
happy,sigma_track,0.49,0.138,0.29,0.72,1675,2326,1.00,0.0033,0.0028,624,24,52,1.006612424020314
happy,sigma_participant,1.161,0.153,0.94,1.4,1564,2039,1.00,0.0039,0.0029,624,24,52,1.006612424020314
happy,cutpoints[0],-3.12,0.258,-3.5,-2.7,2394,2453,1.00,0.0053,0.004,624,24,52,1.006612424020314
happy,cutpoints[1],-0.909,0.22,-1.3,-0.56,2128,2493,1.00,0.0048,0.0035,624,24,52,1.006612424020314
happy,cutpoints[2],1.377,0.223,1,1.7,2201,2407,1.00,0.0048,0.0034,624,24,52,1.006612424020314
happy,cutpoints[3],4.05,0.296,3.6,4.5,3116,2921,1.00,0.0053,0.0037,624,24,52,1.006612424020314
sad,beta[istc_mean_max_unique_per_sec],-0.154,0.136,-0.37,0.06,4088,3083,1.00,0.0021,0.0016,650,24,56,1.0071458532188322
sad,beta[notedensity_per_s],-1.684,0.194,-2,-1.4,3499,2841,1.00,0.0033,0.0025,650,24,56,1.0071458532188322
sad,beta[pitch_mean],0.041,0.147,-0.19,0.28,3499,3163,1.00,0.0025,0.0018,650,24,56,1.0071458532188322
sad,beta[rhythm_tempo_Mean],0.258,0.169,-0.0094,0.52,3862,3142,1.00,0.0027,0.0021,650,24,56,1.0071458532188322
sad,sigma_track,0.456,0.157,0.22,0.72,1224,1448,1.00,0.0044,0.0037,650,24,56,1.0071458532188322
sad,sigma_participant,2.09,0.227,1.8,2.5,1463,2193,1.00,0.006,0.0045,650,24,56,1.0071458532188322
sad,cutpoints[0],-0.95,0.31,-1.5,-0.45,1031,1470,1.01,0.0098,0.007,650,24,56,1.0071458532188322
sad,cutpoints[1],1.35,0.31,0.85,1.9,1084,1538,1.01,0.0096,0.0068,650,24,56,1.0071458532188322
sad,cutpoints[2],3.73,0.35,3.2,4.3,1310,2011,1.00,0.0096,0.0069,650,24,56,1.0071458532188322
sad,cutpoints[3],6.03,0.45,5.3,6.8,2002,2382,1.00,0.01,0.0074,650,24,56,1.0071458532188322
calm,beta[istc_mean_max_unique_per_sec],-0.028,0.148,-0.26,0.21,3491,2933,1.00,0.0025,0.0019,614,24,53,1.0062040465866453
calm,beta[notedensity_per_s],-1.421,0.2,-1.7,-1.1,2872,2921,1.00,0.0038,0.003,614,24,53,1.0062040465866453
calm,beta[pitch_mean],0.112,0.153,-0.13,0.35,3261,2701,1.00,0.0027,0.0021,614,24,53,1.0062040465866453
calm,beta[rhythm_tempo_Mean],0.238,0.189,-0.061,0.54,3050,2950,1.00,0.0035,0.0027,614,24,53,1.0062040465866453
calm,sigma_track,0.557,0.149,0.34,0.82,1674,2235,1.00,0.0037,0.0029,614,24,53,1.0062040465866453
calm,sigma_participant,1.327,0.167,1.1,1.6,1443,2128,1.01,0.0044,0.0033,614,24,53,1.0062040465866453
calm,cutpoints[0],-2.13,0.256,-2.5,-1.7,1924,2562,1.00,0.0058,0.0043,614,24,53,1.0062040465866453
calm,cutpoints[1],-0.17,0.239,-0.56,0.2,1928,2277,1.00,0.0054,0.004,614,24,53,1.0062040465866453
calm,cutpoints[2],2.49,0.261,2.1,2.9,2359,2778,1.00,0.0054,0.0038,614,24,53,1.0062040465866453
calm,cutpoints[3],5.42,0.403,4.8,6.1,4049,3143,1.00,0.0064,0.0046,614,24,53,1.0062040465866453
energetic,beta[istc_mean_max_unique_per_sec],0.02,0.175,-0.26,0.29,2369,2754,1.00,0.0036,0.0028,531,24,45,1.0042400549599608
energetic,beta[notedensity_per_s],1.47,0.236,1.1,1.8,1832,2462,1.00,0.0055,0.0041,531,24,45,1.0042400549599608
energetic,beta[pitch_mean],0.295,0.184,0.0043,0.59,2163,2149,1.00,0.004,0.003,531,24,45,1.0042400549599608
energetic,beta[rhythm_tempo_Mean],-0.176,0.212,-0.51,0.16,2174,2433,1.00,0.0046,0.0033,531,24,45,1.0042400549599608
energetic,sigma_track,0.684,0.169,0.45,0.98,1593,2311,1.00,0.0042,0.0035,531,24,45,1.0042400549599608
energetic,sigma_participant,1.47,0.193,1.2,1.8,1377,2071,1.00,0.0052,0.004,531,24,45,1.0042400549599608
energetic,cutpoints[0],-4.39,0.36,-5,-3.8,1614,1984,1.00,0.0091,0.0065,531,24,45,1.0042400549599608
energetic,cutpoints[1],-1.63,0.29,-2.1,-1.2,1394,2207,1.00,0.0077,0.0055,531,24,45,1.0042400549599608
energetic,cutpoints[2],1.33,0.29,0.88,1.8,1447,2169,1.00,0.0075,0.0055,531,24,45,1.0042400549599608
energetic,cutpoints[3],4.31,0.36,3.7,4.9,2053,2270,1.00,0.0079,0.0059,531,24,45,1.0042400549599608
