outcome,term,coef,se,p_value,n_obs,n_pieces
istc_mean_max_unique_per_sec,Intercept,8.292290617547201e-11,0.16463815385495992,0.9999999995981314,24,10
istc_mean_max_unique_per_sec,rhythm_tempo_Mean,0.08980309600186806,0.27766254059947515,0.7463731566126519,24,10
istc_mean_max_unique_per_sec,notedensity_per_s,-1.4952783926986377,0.6505726049432489,0.02153883096123431,24,10
istc_mean_max_unique_per_sec,dynamics_rms_Mean,0.5021153735457002,0.24147061326365743,0.03758007554770448,24,10
istc_mean_max_unique_per_sec,simple_brightness_Mean,0.5414978485962155,0.29790640803438595,0.06911340085292109,24,10
istc_mean_max_unique_per_sec,pitch_mean,0.08487022819266782,0.23381468928209787,0.7166192741865993,24,10
istc_mean_max_unique_per_sec,duration_mean_s,-1.6284843799700834,0.49333037306949085,0.0009634031288297164,24,10
istc_mean_max_unique_per_sec,Group Var,1.0615206115270311e-09,0.354642403737689,0.9999999976117607,24,10
istc_mean_max_unique_per_sec,group_var (piece random intercept variance),6.710069567424314e-10,,,24,10
emotion_happy,Intercept,0.006142986036250979,0.12353975785609186,0.9603417173246305,24,10
emotion_happy,rhythm_tempo_Mean,0.10917261603781438,0.18658317597710958,0.5584703898207797,24,10
emotion_happy,notedensity_per_s,-0.03126398750835411,0.42179321023047717,0.9409136284145803,24,10
emotion_happy,dynamics_rms_Mean,0.11892867396735245,0.16531369528538703,0.47188703888788575,24,10
emotion_happy,simple_brightness_Mean,0.5908210511036662,0.22174505192784594,0.007712213831055004,24,10
emotion_happy,pitch_mean,0.46242546729798933,0.17898544932730148,0.00977772394037689,24,10
emotion_happy,duration_mean_s,-0.6594692058611976,0.31454993339386184,0.0360335581057517,24,10
emotion_happy,Group Var,0.2565693799995773,0.5723890064615577,0.6539778142591524,24,10
emotion_happy,group_var (piece random intercept variance),0.055752534874471654,,,24,10
emotion_sad,Intercept,-0.01794110441523554,0.1271009387805562,0.8877464295279351,24,10
emotion_sad,rhythm_tempo_Mean,-0.0537870394439579,0.12482682206043032,0.6665459660763535,24,10
emotion_sad,notedensity_per_s,-0.02550477320216324,0.31169304382541785,0.9347846257537943,24,10
emotion_sad,dynamics_rms_Mean,-0.24316915855089966,0.12631055376964714,0.05420822287894092,24,10
emotion_sad,simple_brightness_Mean,-0.4009302050608224,0.1678856353132024,0.016935041354451164,24,10
emotion_sad,pitch_mean,-0.12594816358458585,0.16576098233124786,0.44736343420778923,24,10
emotion_sad,duration_mean_s,0.9262691906602033,0.2725415019147804,0.0006772293683631176,24,10
emotion_sad,Group Var,1.4162483601001865,1.7354237225596933,0.4144531399946664,24,10
emotion_sad,group_var (piece random intercept variance),0.11574395269406298,,,24,10
emotion_calm,Intercept,0.0075356812189086,0.09744205740117885,0.9383570506644039,24,10
emotion_calm,rhythm_tempo_Mean,0.08639645541281069,0.14842214622250222,0.5604996696099688,24,10
emotion_calm,notedensity_per_s,-0.8729311141513144,0.31792445739113007,0.006037851737292557,24,10
emotion_calm,dynamics_rms_Mean,-0.005732809914218516,0.12990190352142772,0.9647993135119536,24,10
emotion_calm,simple_brightness_Mean,-0.17596550279112916,0.16290339151333874,0.2800606187867818,24,10
emotion_calm,pitch_mean,0.006572080399571821,0.13025623435192576,0.959759795679589,24,10
emotion_calm,duration_mean_s,0.1081546593004682,0.23862523941298447,0.6503754621561395,24,10
emotion_calm,Group Var,0.1945402933661492,0.48378815538966347,0.6875966266296836,24,10
emotion_calm,group_var (piece random intercept variance),0.028825751720891583,,,24,10
emotion_energetic,Intercept,-0.038022890859037504,0.14385880529892275,0.7915433581924158,24,10
emotion_energetic,rhythm_tempo_Mean,0.10866736579350772,0.1180840577688597,0.35743986743779876,24,10
emotion_energetic,notedensity_per_s,0.4742589174686465,0.3236665624125314,0.14284725660779218,24,10
emotion_energetic,dynamics_rms_Mean,0.033327125108175266,0.12824870189375326,0.7949692561089146,24,10
emotion_energetic,simple_brightness_Mean,0.20171418949981085,0.17197087121175494,0.24081362738267142,24,10
emotion_energetic,pitch_mean,0.19484380086020703,0.18669230705854334,0.2966414639304026,24,10
emotion_energetic,duration_mean_s,-0.24829584974233057,0.25319259594748805,0.3267604382155104,24,10
emotion_energetic,Group Var,1.8183320698932983,1.6100218056541729,0.2587360881740651,24,10
emotion_energetic,group_var (piece random intercept variance),0.15727359801349175,,,24,10
