feature,outcome,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,abs_pearson_r
notedensity_per_s,emotion_calm,8,-0.5253896917490452,0.18116430067193706,-0.4761904761904762,0.23293553465009806,0.5253896917490452
duration_mean_s,emotion_calm,8,0.348773054805888,0.3971473285190463,0.38095238095238104,0.3518125531175649,0.348773054805888
pitch_mean,emotion_calm,8,-0.3006473876998581,0.46933398852298003,-0.2142857142857143,0.6103444156452668,0.3006473876998581
dynamics_rms_Mean,emotion_calm,8,-0.2133999547009513,0.611856795037704,-0.04761904761904763,0.9108491685195836,0.2133999547009513
simple_brightness_Mean,emotion_calm,8,0.1584259751140938,0.7078842468090485,-0.09523809523809526,0.8225054302036114,0.1584259751140938
rhythm_tempo_Mean,emotion_calm,8,0.12057223300685227,0.7761085554653054,0.5000000000000001,0.20703124999999997,0.12057223300685227
pitch_mean,emotion_energetic,8,0.5629634538679557,0.146262313391777,-0.09523809523809526,0.8225054302036114,0.5629634538679557
notedensity_per_s,emotion_energetic,8,0.527787307688091,0.17881627773264025,0.6428571428571429,0.08555889101267328,0.527787307688091
dynamics_rms_Mean,emotion_energetic,8,0.4946952791889635,0.21266559730452989,0.38095238095238104,0.3518125531175649,0.4946952791889635
simple_brightness_Mean,emotion_energetic,8,-0.48828931213425164,0.21957470010280938,-0.30952380952380953,0.4556448907375821,0.48828931213425164
duration_mean_s,emotion_energetic,8,-0.41270864794822293,0.30955127551002226,-0.6190476190476191,0.1017330374542648,0.41270864794822293
rhythm_tempo_Mean,emotion_energetic,8,-0.21946538808899377,0.6015246764646625,-0.30952380952380953,0.4556448907375821,0.21946538808899377
pitch_mean,emotion_happy,8,0.6128721147713536,0.10619256708567475,0.4285714285714286,0.2894032248467902,0.6128721147713536
duration_mean_s,emotion_happy,8,-0.43933648706265693,0.2761052331560419,-0.4761904761904762,0.23293553465009806,0.43933648706265693
notedensity_per_s,emotion_happy,8,0.3179109272389025,0.44286228201567707,0.4047619047619048,0.3198886412288164,0.3179109272389025
rhythm_tempo_Mean,emotion_happy,8,0.1283766425458686,0.7619253687127088,-0.30952380952380953,0.4556448907375821,0.1283766425458686
simple_brightness_Mean,emotion_happy,8,0.1197596157384973,0.7775885276136064,0.2380952380952381,0.5701563208157682,0.1197596157384973
dynamics_rms_Mean,emotion_happy,8,-0.02699915494176941,0.9494011805440787,-0.11904761904761905,0.7788857260523796,0.02699915494176941
duration_mean_s,emotion_sad,8,0.8449176001305958,0.008273627520720157,0.9285714285714287,0.0008629681828999772,0.8449176001305958
notedensity_per_s,emotion_sad,8,-0.66906100633334,0.06960999763644944,-0.8095238095238096,0.01490266768623008,0.66906100633334
simple_brightness_Mean,emotion_sad,8,0.21287556053228876,0.6127527305661705,0.14285714285714288,0.7357648598798119,0.21287556053228876
dynamics_rms_Mean,emotion_sad,8,-0.18356562284371497,0.6634681581074992,-0.19047619047619052,0.6514014957024813,0.18356562284371497
pitch_mean,emotion_sad,8,-0.15329693927275742,0.71703958047119,0.0,1.0,0.15329693927275742
rhythm_tempo_Mean,emotion_sad,8,-0.03012136415811914,0.9435565941685173,0.2380952380952381,0.5701563208157682,0.03012136415811914
dynamics_rms_Mean,istc_mean_max_unique_per_sec,8,0.510733081894609,0.19587357524200566,0.5714285714285715,0.13895995716070678,0.510733081894609
notedensity_per_s,istc_mean_max_unique_per_sec,8,0.47228215505980636,0.23733810490269697,0.6666666666666669,0.07098765432098757,0.47228215505980636
simple_brightness_Mean,istc_mean_max_unique_per_sec,8,-0.4434537958049726,0.27110040183226297,-0.4761904761904762,0.23293553465009806,0.4434537958049726
duration_mean_s,istc_mean_max_unique_per_sec,8,-0.3062318980676119,0.46070253868710154,-0.5714285714285715,0.13895995716070678,0.3062318980676119
rhythm_tempo_Mean,istc_mean_max_unique_per_sec,8,0.15177184056724247,0.7197676222284749,0.04761904761904763,0.9108491685195836,0.15177184056724247
pitch_mean,istc_mean_max_unique_per_sec,8,0.08623809013649662,0.8391034840660199,-0.38095238095238104,0.3518125531175649,0.08623809013649662
