stim_name,wtc_code,manifest_wtc_code,beta_piece_override_applied,manual_onset_s,deployed_t0_wav,matched_t0_wav,beta_midi_path,deployed_t0_sha256,matched_t0_sha256,beta_midi_sha256
track1,wtc1p15,wtc1p15,False,1.06510416666667,01_deployed_t0.wav,02_matched_t0.wav,wtc1p15_cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.midi,5a19c760d0488d93dcf744ef412881f26d289c993de03db53fe2242b57e60444,5a19c760d0488d93dcf744ef412881f26d289c993de03db53fe2242b57e60444,aaac1bb374259bf85e9d6745b47fb151b610a6ccdf4695fdfce72986dc350648
track10,wtc1p03,wtc1p03,False,0.9642708333333329,01_deployed_t0.wav,02_matched_t0.wav,wtc1p03_cut-MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.midi,8cbe08e03dfa319a58922c495b3d29cee597fb74fe2d8715382ba9cbddbb0bce,8cbe08e03dfa319a58922c495b3d29cee597fb74fe2d8715382ba9cbddbb0bce,af0dd6a17a4c294cbd3a497bde8684a3c24f317acc0b4038a9ac60d026fd5be9
track11,wtc1p15,wtc1p15,False,1.08329166666667,01_deployed_t0.wav,02_matched_t0.wav,wtc1p15_cut-MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--1.midi,a591015e45bd1e2b945a4e174b49baa5ceb4fdd120efba9a1c16d7637ad297a6,a591015e45bd1e2b945a4e174b49baa5ceb4fdd120efba9a1c16d7637ad297a6,57c177b4142c3c373b85ebc307a9a283a97826319f87dfc04de7ff22d2892fae
track12,wtc1p04,wtc1p04,False,0.9890625,01_deployed_t0.wav,02_matched_t0.wav,wtc1p04_cut-MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018_wav--1.midi,43c59797f0058cde949e9e642b5c72a54b59e21cb9ecb23a5712aeb3ab97a994,43c59797f0058cde949e9e642b5c72a54b59e21cb9ecb23a5712aeb3ab97a994,758df2f581ea6bce23272d1d7a3f38ed95323ccc5a5ba242d09f3a5e3cf34cc1
track13,wtc1p15,wtc1p15,False,1.01952083333333,01_deployed_t0.wav,02_matched_t0.wav,wtc1p15_cut-MIDI-Unprocessed_18_R1_2008_01-04_ORIG_MID--AUDIO_18_R1_2008_wav--1.midi,bdd352fa111a22a58c2fac90248cdbce61f3cac8401d7db8aa6404956dedf8f9,bdd352fa111a22a58c2fac90248cdbce61f3cac8401d7db8aa6404956dedf8f9,73b41c27e773629be3941e1891ce3f1559846fe163daad99cf722140a5f08fe2
track14,wtc1p17,wtc1p17,False,0.988395833333333,01_deployed_t0.wav,02_matched_t0.wav,wtc1p17_cut-ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_04_R1_2013_wav--1.midi,efe79138a51d8541a084fc2779c0b54cad208b7b3ccd0acd0d69e1a493d17b5f,efe79138a51d8541a084fc2779c0b54cad208b7b3ccd0acd0d69e1a493d17b5f,6614fe13d5ce4520f1ca56cb14a133952d287dd32790ca889b8efbc98c8920d6
track15,wtc1p03,wtc1p03,False,0.99075,01_deployed_t0.wav,02_matched_t0.wav,wtc1p03_cut-ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--1.midi,1754aeaf7d7498da2721825b64a3fdc0bb98cb20ef2cd4e675b5f6f561cc9124,1754aeaf7d7498da2721825b64a3fdc0bb98cb20ef2cd4e675b5f6f561cc9124,b74a626d001778ca75dff802a4d456ce63e25c5d4f3789c0670079536a9e9d04
track16,wtc1f05,wtc1f05,False,1.222125,01_deployed_t0.wav,02_matched_t0.wav,wtc1f05_cut-MIDI-Unprocessed_18_R1_2011_MID--AUDIO_R1-D7_07_Track07_wav.midi,ee601029ffc1d8048db756746fdd943537e1974df07fa5da1cd808ec10622410,ee601029ffc1d8048db756746fdd943537e1974df07fa5da1cd808ec10622410,41ff474f66ffd78fb533d83b1e12e91255352bdfd6abf185b834bb15b5bbd2bf
track17,wtc2f07,wtc2f07,False,1.99295833333333,01_deployed_t0.wav,02_matched_t0.wav,wtc2f07_cut-MIDI-Unprocessed_061_PIANO061_MID--AUDIO-split_07-07-17_Piano-e_2-05_wav--1.midi,726235cf34858e7368932d900e6b5bf33fa8a27dd7eedb93800224445507a129,726235cf34858e7368932d900e6b5bf33fa8a27dd7eedb93800224445507a129,29017e757dbe38f93904e9bc4b1bd967f92d301e821077dcb18b50d78e0d99dd
track18,wtc2p01,wtc2p01,False,0.9896041666666668,01_deployed_t0.wav,02_matched_t0.wav,wtc2p01_cut-MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--1.midi,98dc079ec2a0d2757784c698a45ef9bddaab777e6c6b16b3451962a19d8a0c0c,98dc079ec2a0d2757784c698a45ef9bddaab777e6c6b16b3451962a19d8a0c0c,0dfbb6b3ce1231eb54fb1f48afa603aa4dcc3f1b22041f08ddc5b30ea117e355
