stim_name,istc_mean_max_unique_per_sec,tap_count_mean_max_per_sec,max_tap_count_per_100ms_bin,max_unique_participants_per_100ms_bin,mean_tap_count_per_100ms_bin,mean_unique_participants_per_100ms_bin,n_participants,n_trials,bin_ms,step_ms,window_t0_s,window_t1_s,wtc_code,manifest_wtc_code,beta_list,beta_perf,beta_score
track1,5.622641509433962,5.622641509433962,8,8,2.5419776119402986,2.541044776119403,11,11,100.0,50.0,1.1337594696969666,54.683759469696966,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track10,7.234567901234568,7.234567901234568,11,11,2.918242830994509,2.918242830994509,13,13,100.0,50.0,2.388229166666667,84.24527462121213,wtc1p03,wtc1p03,3,-1.2481,-1.2469
track11,5.568627450980392,5.568627450980392,9,9,2.5684931506849313,2.567514677103718,11,11,100.0,50.0,1.0521628787878756,52.09852651515152,wtc1p15,wtc1p15,3,-0.2187,-0.2511
track12,5.286624203821656,5.292993630573249,9,9,1.4163498098859315,1.414765525982256,12,12,100.0,50.0,1.1259375000000003,158.85911931818183,wtc1p04,wtc1p04,2,-0.3545,-0.5101
track13,5.882352941176471,5.901960784313726,10,10,2.2873900293255134,2.2844574780058653,11,11,100.0,50.0,1.557751893939397,52.6327518939394,wtc1p15,wtc1p15,2,-0.417,-0.2511
track14,7.726027397260274,7.739726027397261,11,11,2.5159755268524813,2.5078178110129166,12,12,100.0,50.0,-0.0679412878787875,73.39251325757576,wtc1p17,wtc1p17,1,-0.9336,-0.9849
track15,6.533333333333333,6.56,10,10,2.9927344782034346,2.984147952443857,12,12,100.0,50.0,0.1403863636363636,75.78334090909091,wtc1p03,wtc1p03,2,-1.0295,-1.2469
track16,6.81651376146789,6.834862385321101,10,10,2.118131868131868,2.1103479853479854,11,11,100.0,50.0,-0.08689772727272695,109.0360568181818,wtc1f05,wtc1f05,3,-0.5387,-0.6812
track17,6.155172413793103,6.163793103448276,10,10,1.5387912558936991,1.5383626232318903,12,12,100.0,50.0,-0.557049242424239,116.0318143939394,wtc2f07,wtc2f07,2,-0.7004,-0.9718
track18,6.8493150684931505,6.8493150684931505,9,9,1.7416382252559728,1.7416382252559728,10,10,100.0,50.0,-0.0016496212121213105,146.4447140151515,wtc2p01,wtc2p01,1,-0.2781,-0.1693
track19,6.9714285714285715,6.985714285714286,10,10,2.9454674220963173,2.941926345609065,12,12,100.0,50.0,1.1486742424242395,71.65958333333333,wtc1p03,wtc1p03,2,-1.3369,-1.2469
track2,6.607843137254902,6.627450980392157,9,9,3.314868804664723,3.312925170068027,12,12,100.0,50.0,0.9707234848484857,52.35867803030303,wtc1p15,wtc1p15,3,-0.3972,-0.2511
track20,8.092307692307692,8.092307692307692,11,11,2.5017182130584192,2.4990454371897672,12,12,100.0,50.0,1.1307215909090906,132.0173125,wtc2p24,wtc2p24,1,-0.44,-0.3163
track21,5.618705035971223,5.633093525179856,9,9,1.9470293486041517,1.9463135289906943,13,13,100.0,50.0,-0.2938958333333299,139.31860416666666,wtc1f05,wtc1f05,3,-0.539,-0.6812
track22,6.870967741935484,6.870967741935484,10,10,1.4614147909967845,1.4614147909967845,11,11,100.0,50.0,-0.44982196969696636,92.75540530303032,wtc2f07,wtc2f07,2,-0.8852,-0.9718
track23,6.108108108108108,6.202702702702703,9,9,2.5023348899266176,2.4903268845897264,11,11,100.0,50.0,1.1485776515151516,76.00607765151516,wtc1p03,wtc1p03,3,-1.1204,-1.2469
track24,6.87012987012987,6.87012987012987,10,10,2.0870406189555126,2.0870406189555126,11,11,100.0,50.0,1.0389469696969664,78.49621969696969,wtc1p17,wtc1p17,1,-1.0328,-0.9849
track3,8.14516129032258,8.225806451612904,12,12,3.0088141025641026,2.983173076923077,12,12,100.0,50.0,-0.9479469696969665,123.79000757575758,wtc2f06,wtc2f06,1,-1.0934,-0.9258
track4,6.310924369747899,6.310924369747899,10,10,1.9564489112227805,1.9556113902847572,11,11,100.0,50.0,-1.220939393939397,118.11701515151515,wtc2f06,wtc2f06,1,-0.9994,-0.9258
track5,5.9605263157894735,5.9605263157894735,9,9,1.581806282722513,1.581806282722513,11,11,100.0,50.0,0.7656155303030311,153.51197916666666,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track6,4.664516129032258,4.664516129032258,9,9,1.4522661523625844,1.4522661523625844,12,12,100.0,50.0,0.8256477272727275,156.31292045454543,wtc1p04,wtc1p04,2,-0.2648,-0.5101
track7,6.758389261744966,6.76510067114094,10,10,1.9435726210350583,1.9415692821368948,12,12,100.0,50.0,0.9418977272727269,150.6303068181818,wtc2p24,wtc2p24,1,-0.5012,-0.3163
track8,6.846153846153846,6.8538461538461535,10,10,1.9388379204892967,1.938073394495413,11,11,100.0,50.0,0.5602272727272724,131.30159090909092,wtc1f03,wtc1p03,3,-0.6684,-0.6974
track9,7.059602649006623,7.059602649006623,10,10,2.039260969976905,2.0382711976245464,11,11,100.0,50.0,-0.2272272727272724,151.2714090909091,wtc1f03,wtc1p03,3,-0.6237,-0.6974
