stim_name,window_start_s,window_end_s,window_center_s,istc_mean_max_unique_per_sec,tap_count_mean_max_per_sec,max_unique_participants_per_100ms_bin,max_tap_count_per_100ms_bin,n_participants,wtc_code,manifest_wtc_code,beta_list,beta_perf,beta_score
track1,0.0,1.0,0.5,0.0,0.0,0,0,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,0.25,1.25,0.75,1.0,1.0,1,1,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,0.5,1.5,1.0,1.0,1.0,1,1,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,0.75,1.75,1.25,1.0,1.0,1,1,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,1.0,2.0,1.5,2.0,2.0,2,2,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,1.25,2.25,1.75,2.0,2.0,2,2,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,1.5,2.5,2.0,3.0,3.0,3,3,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,1.75,2.75,2.25,3.0,3.0,3,3,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,2.0,3.0,2.5,4.0,4.0,4,4,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,2.25,3.25,2.75,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,2.5,3.5,3.0,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,2.75,3.75,3.25,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,3.0,4.0,3.5,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,3.25,4.25,3.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,3.5,4.5,4.0,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,3.75,4.75,4.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,4.0,5.0,4.5,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,4.25,5.25,4.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,4.5,5.5,5.0,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,4.75,5.75,5.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,5.0,6.0,5.5,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,5.25,6.25,5.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,5.5,6.5,6.0,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,5.75,6.75,6.25,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,6.0,7.0,6.5,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,6.25,7.25,6.75,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,6.5,7.5,7.0,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,6.75,7.75,7.25,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,7.0,8.0,7.5,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,7.25,8.25,7.75,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,7.5,8.5,8.0,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,7.75,8.75,8.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,8.0,9.0,8.5,4.0,4.0,4,4,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,8.25,9.25,8.75,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,8.5,9.5,9.0,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,8.75,9.75,9.25,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,9.0,10.0,9.5,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,9.25,10.25,9.75,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,9.5,10.5,10.0,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,9.75,10.75,10.25,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,10.0,11.0,10.5,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,10.25,11.25,10.75,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,10.5,11.5,11.0,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,10.75,11.75,11.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,11.0,12.0,11.5,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,11.25,12.25,11.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,11.5,12.5,12.0,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,11.75,12.75,12.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,12.0,13.0,12.5,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,12.25,13.25,12.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,12.5,13.5,13.0,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,12.75,13.75,13.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,13.0,14.0,13.5,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,13.25,14.25,13.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,13.5,14.5,14.0,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,13.75,14.75,14.25,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,14.0,15.0,14.5,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,14.25,15.25,14.75,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,14.5,15.5,15.0,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,14.75,15.75,15.25,8.0,8.0,8,8,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,15.0,16.0,15.5,8.0,8.0,8,8,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,15.25,16.25,15.75,8.0,8.0,8,8,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,15.5,16.5,16.0,8.0,8.0,8,8,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,15.75,16.75,16.25,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,16.0,17.0,16.5,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,16.25,17.25,16.75,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,16.5,17.5,17.0,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,16.75,17.75,17.25,8.0,8.0,8,8,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,17.0,18.0,17.5,8.0,8.0,8,8,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,17.25,18.25,17.75,8.0,8.0,8,8,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,17.5,18.5,18.0,8.0,8.0,8,8,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,17.75,18.75,18.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,18.0,19.0,18.5,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,18.25,19.25,18.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,18.5,19.5,19.0,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,18.75,19.75,19.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,19.0,20.0,19.5,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,19.25,20.25,19.75,5.0,5.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,19.5,20.5,20.0,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,19.75,20.75,20.25,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,20.0,21.0,20.5,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,20.25,21.25,20.75,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,20.5,21.5,21.0,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,20.75,21.75,21.25,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,21.0,22.0,21.5,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,21.25,22.25,21.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,21.5,22.5,22.0,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,21.75,22.75,22.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,22.0,23.0,22.5,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,22.25,23.25,22.75,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,22.5,23.5,23.0,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,22.75,23.75,23.25,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,23.0,24.0,23.5,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,23.25,24.25,23.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,23.5,24.5,24.0,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,23.75,24.75,24.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,24.0,25.0,24.5,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,24.25,25.25,24.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,24.5,25.5,25.0,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,24.75,25.75,25.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,25.0,26.0,25.5,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,25.25,26.25,25.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,25.5,26.5,26.0,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,25.75,26.75,26.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,26.0,27.0,26.5,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,26.25,27.25,26.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,26.5,27.5,27.0,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,26.75,27.75,27.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,27.0,28.0,27.5,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,27.25,28.25,27.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,27.5,28.5,28.0,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,27.75,28.75,28.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,28.0,29.0,28.5,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,28.25,29.25,28.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,28.5,29.5,29.0,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,28.75,29.75,29.25,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,29.0,30.0,29.5,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,29.25,30.25,29.75,6.0,6.0,6,6,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,29.5,30.5,30.0,6.0,6.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,29.75,30.75,30.25,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,30.0,31.0,30.5,8.0,8.0,8,8,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,30.25,31.25,30.75,8.0,8.0,8,8,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,30.5,31.5,31.0,8.0,8.0,8,8,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,30.75,31.75,31.25,8.0,8.0,8,8,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,31.0,32.0,31.5,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,31.25,32.25,31.75,5.0,5.0,5,5,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,31.5,32.5,32.0,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,31.75,32.75,32.25,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,32.0,33.0,32.5,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,32.25,33.25,32.75,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,32.5,33.5,33.0,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,32.75,33.75,33.25,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track1,33.0,34.0,33.5,7.0,7.0,7,7,11,wtc1p15,wtc1p15,2,-0.2186,-0.2511
