trial_row,stim_name,alignment_offset_s,usable,n_taps,taps_s,wtc_code,manifest_wtc_code,beta_list,beta_perf,beta_score
0,track12,0.9890625,True,238,"[3.7093, 4.6298, 5.5073, 6.4789, 7.3687, 8.2809, 9.1605, 10.0973, 10.9891, 11.8789, 12.7482, 13.818, 14.7405, 15.6159, 16.4832, 17.2871, 17.4384, 18.2873, 19.2691, 20.2775, 21.4618, 22.1287, 22.64, 23.7671, 24.1189, 24.7714, 25.3625, 25.9557, 26.5428, 27.23, 27.9582, 28.6128, 29.1937, 29.8012, 30.4107, 31.0039, 31.6134, 32.2353, 32.943, 33.5832, 34.2684, 34.8616, 35.4589, 36.0766, 36.7005, 37.3653, 38.0403, 38.6846, 39.3105, 39.9303, 40.5623, 41.2046, 41.8018, 42.4134, 43.025, 43.6489, 44.2932, 44.9825, 45.6903, 46.3121, 46.9073, 47.6621, 48.3698, 49.0448, 49.6789, 50.2925, 50.9287, 51.5382, 52.2173, 52.8596, 53.5509, 54.1912, 54.8109, 55.4655, 56.1078, 56.7582, 57.3984, 58.0141, 58.6768, 59.3559, 60.1312, 60.8675, 61.5753, 62.2216, 62.7718, 63.3548, 63.9603, 64.5841, 65.1855, 65.7889, 66.4762, 67.0837, 67.7157, 68.3866, 68.9941, 69.618, 70.2582, 70.9291, 71.5509, 72.185, 72.8293, 73.4491, 74.1241, 74.7603, 75.378, 76.0407, 76.6993, 77.3232, 77.9512, 78.5628, 79.205, 79.8657, 80.5018, 81.1564, 81.7884, 82.4225, 83.0668, 83.748, 84.3821, 85.0284, 85.6625, 86.2803, 86.9082, 87.5832, 88.2439, 88.8821, 89.5264, 90.1646, 90.8048, 91.4471, 92.0975, 92.7275, 93.3473, 93.92, 94.5193, 95.1371, 95.7548, 96.3787, 97.1682, 97.7859, 98.3996, 99.0275, 99.6534, 100.2855, 100.9605, 101.6518, 102.2921, 102.9364, 103.5603, 104.1841, 104.8612, 105.5423, 106.1662, 106.8146, 107.4323, 108.0684, 108.7516, 109.4246, 110.1139, 110.8421, 111.4659, 112.1041, 112.7443, 113.3723, 114.033, 114.6466, 115.2275, 115.8493, 116.4384, 117.0684, 117.6616, 118.308, 118.8725, 119.48, 120.0896, 120.7114, 121.3312, 121.9612, 122.5932, 123.1946, 123.8062, 124.3993, 125.0068, 125.6389, 126.2525, 126.8743, 127.4573, 128.0403, 128.6437, 129.2737, 129.9855, 130.6257, 131.3253, 132.0534, 132.8778, 133.3441, 134.0109, 134.7514, 135.4509, 136.0012, 136.6148, 137.2468, 137.9791, 138.5784, 139.1839, 139.7484, 140.3662, 140.9757, 141.62, 142.2337, 142.8391, 143.5305, 144.1523, 144.7434, 145.3612, 146.03, 146.5782, 147.0855, 147.6889, 148.3782, 149.1125, 149.6955, 150.2784, 150.9718, 151.4607, 151.9148, 152.3239, 152.7821, 153.2853, 153.9418, 154.4941, 155.0423, 155.5618, 156.0466, 156.5559, 157.0346, 157.5275, 157.9959]",wtc1p04,wtc1p04,2,-0.3545,-0.5101
1,track1,1.06510416666667,True,115,"[4.0301, 4.3819, 4.7951, 5.1715, 5.5785, 6.0163, 6.4131, 6.8099, 7.2272, 7.6894, 8.1456, 8.6079, 9.0742, 9.5242, 10.0274, 10.4897, 10.9479, 11.4285, 11.9072, 12.3551, 12.8113, 13.2429, 13.6847, 14.1429, 14.6072, 15.0531, 15.4479, 15.8549, 16.2906, 16.716, 17.1497, 17.5915, 17.8144, 18.019, 18.1683, 18.4363, 18.8351, 19.011, 19.2769, 19.6758, 20.0951, 20.4981, 20.9276, 21.3306, 21.754, 22.1447, 22.5538, 22.9669, 23.464, 23.916, 24.3374, 24.7567, 25.1904, 25.6117, 26.0372, 26.4688, 26.9208, 27.3238, 27.8126, 28.2463, 28.7147, 29.1606, 29.6249, 30.0994, 30.5494, 30.9933, 31.4556, 31.9035, 32.3413, 32.7954, 33.2658, 33.7424, 34.1904, 34.6588, 35.0985, 35.5281, 35.9781, 36.4301, 36.8781, 37.324, 37.7822, 38.2281, 38.6556, 39.0954, 39.5372, 39.9851, 40.4085, 40.8463, 41.284, 41.7238, 42.2454, 42.6238, 43.0676, 43.5483, 44.0188, 44.4749, 44.9167, 45.3463, 45.786, 46.2524, 46.7044, 47.1258, 47.5369, 47.9767, 48.4083, 48.844, 49.3819, 49.7931, 50.3781, 50.9488, 51.4847, 52.0104, 52.5176, 53.0167, 53.5076]",wtc1p15,wtc1p15,2,-0.2186,-0.2511
2,track4,1.97366666666667,True,267,"[-1.2209, -0.098, 0.0391, 0.1577, 0.2907, 0.9125, 2.5775, 2.8291, 3.86, 4.1422, 5.0075, 5.3613, 5.7336, 6.2859, 6.8422, 7.1593, 7.4457, 7.7443, 8.0143, 8.3068, 8.5686, 8.8734, 9.1475, 9.2763, 9.3929, 9.5116, 9.8347, 9.9309, 10.3277, 10.4054, 10.4832, 10.7491, 10.9127, 11.0293, 11.197, 11.5652, 11.6818, 11.8025, 11.9947, 12.6186, 13.1545, 13.8459, 13.9768, 14.1977, 15.3902, 15.515, 15.7584, 15.9466, 16.0202, 16.5438, 16.8363, 16.9775, 17.0429, 17.5686, 18.0616, 18.2497, 18.35, 18.577, 19.0638, 19.5588, 20.0047, 20.1459, 20.2502, 20.3484, 21.5879, 22.4593, 22.9625, 23.4657, 23.9566, 24.4577, 24.9547, 25.4436, 26.0327, 26.5788, 27.1086, 27.6322, 28.1886, 28.6979, 29.2666, 29.8168, 30.3629, 30.8886, 31.3897, 31.8929, 32.4186, 32.93, 33.4434, 33.6561, 33.9507, 34.1859, 34.9754, 35.497, 36.0207, 36.5566, 37.0618, 37.5957, 38.1009, 38.5918, 39.0929, 39.6002, 40.1197, 40.6495, 41.1732, 41.6886, 42.2122, 42.7113, 43.2125, 43.732, 44.2229, 44.6995, 45.2007, 45.6977, 46.2152, 46.7184, 47.2338, 47.782, 48.2913, 48.8129, 49.3427, 49.8459, 50.3982, 51.0179, 51.56, 52.0611, 52.5582, 53.0757, 53.6095, 54.1311, 54.6588, 55.1947, 55.6877, 56.2134, 56.7513, 57.2504, 57.7659, 58.2752, 58.7907, 59.3082, 59.8318, 60.2736, 60.695, 61.1675, 61.7197, 62.2291, 62.7732, 63.3009, 63.847, 64.3666, 64.8902, 65.4077, 65.9232, 66.412, 66.5061, 66.9377, 67.4163, 67.9338, 68.4759, 68.9852, 69.4802, 70.0713, 70.4722, 70.8445, 71.2147, 71.5522, 71.9163, 72.2845, 72.6282, 72.9677, 73.3359, 73.6836, 74.0497, 74.3832, 74.7391, 75.1032, 75.4611, 75.817, 76.1688, 76.5411, 76.8684, 77.2161, 77.5434, 77.8768, 78.2388, 78.6172, 78.9977, 79.4027, 79.7934, 80.1554, 80.5379, 80.8775, 81.1986, 81.53, 81.8757, 82.2029, 82.5527, 82.8779, 83.1929, 83.5447, 83.8557, 84.2116, 84.5409, 84.8477, 85.1545, 85.4941, 85.8397, 86.1772, 86.5372, 86.8809, 87.2082, 87.515, 87.83, 88.1511, 88.4722, 88.822, 89.1493, 89.5502, 90.1025, 90.6486, 91.1907, 91.7163, 92.2482, 92.7554, 93.2647, 93.7863, 94.3243, 94.852, 95.3838, 95.9218, 96.5395, 97.0775, 97.6216, 98.2782, 98.812, 99.2845, 99.7836, 100.2725, 100.7818, 101.3116, 101.8454, 102.4263, 102.9316, 103.4327, 103.9236, 104.4309, 104.9341, 105.4311, 105.9629, 106.4109, 106.9304, 107.4418, 107.99, 108.5279, 109.0475, 109.565, 110.1172, 110.6838, 111.2893, 111.9091, 112.4797, 113.03, 113.5659, 114.1263, 114.7113, 115.2861, 115.8261, 116.3457, 116.8693]",wtc2f06,wtc2f06,1,-0.9994,-0.9258
3,track16,1.222125,True,213,"[3.7504, 4.1717, 4.6586, 5.3867, 5.8797, 6.344, 6.7592, 7.2011, 7.649, 8.1665, 8.6901, 9.2711, 9.7333, 10.2488, 10.7233, 11.2061, 11.6745, 12.1408, 12.5663, 13.0654, 13.5542, 14.0001, 14.4297, 14.8429, 15.297, 15.7838, 16.2501, 16.7206, 17.1808, 17.6472, 18.0849, 18.5329, 18.9972, 19.4595, 19.9422, 20.4433, 20.9567, 21.3945, 21.8363, 22.2842, 22.7424, 23.1904, 23.6424, 24.0883, 24.5465, 24.974, 25.3892, 25.5324, 25.8679, 26.3486, 26.862, 27.3836, 27.8745, 28.3551, 28.8133, 29.2531, 29.6888, 30.1531, 30.6665, 31.1779, 31.6626, 32.1536, 32.5913, 33.0658, 33.5465, 34.0149, 34.4936, 34.9722, 35.4426, 35.9029, 36.3713, 36.8581, 37.3367, 37.8072, 38.3267, 38.7726, 39.2595, 39.7442, 40.2331, 40.6626, 41.1167, 41.5586, 42.0147, 42.5015, 42.9842, 43.4629, 43.9476, 44.4386, 44.8926, 45.3508, 45.8192, 46.2876, 46.7479, 47.2142, 47.6642, 48.1183, 48.5745, 49.0449, 49.5808, 50.1454, 50.6608, 51.1804, 51.5936, 52.0292, 52.469, 52.9395, 53.457, 53.999, 54.5615, 55.0974, 55.5801, 56.0792, 56.5415, 56.9301, 57.3781, 57.9017, 58.4213, 58.9306, 59.399, 59.8961, 60.3911, 60.882, 61.3811, 61.8679, 62.3506, 62.8026, 63.2608, 63.7497, 64.2263, 64.6947, 65.1836, 65.6601, 66.1183, 66.5745, 67.0245, 67.4888, 67.9511, 68.4195, 68.8797, 69.3542, 69.8472, 70.3013, 70.7554, 71.2217, 71.7024, 72.1913, 72.5656, 73.6088, 73.7929, 73.9545, 74.067, 74.5088, 74.9588, 75.4354, 75.8813, 76.3722, 76.8406, 77.3233, 77.7774, 78.2295, 78.7388, 79.2399, 79.7165, 80.2033, 80.6942, 81.2895, 81.8192, 82.5229, 83.0138, 83.4331, 83.8688, 84.3413, 84.8036, 85.2781, 85.7486, 86.2067, 86.6629, 87.1088, 87.5629, 88.0129, 88.4547, 88.917, 89.3465, 89.7883, 90.2486, 90.6801, 91.1158, 91.5576, 92.0015, 92.4351, 92.8954, 93.372, 93.9672, 94.5399, 95.0799, 95.6015, 96.1354, 96.7286, 97.3279, 97.8924, 98.5142, 99.2138, 99.8786, 100.617, 101.4024, 102.1858, 103.0613, 103.7649, 104.3765, 105.0045, 105.6017, 106.2276, 106.8331]",wtc1f05,wtc1f05,3,-0.5387,-0.6812
4,track3,1.98908333333333,True,248,"[3.4048, 3.7689, 4.1023, 4.4439, 4.7936, 5.2518, 5.7836, 6.25, 6.9475, 7.3014, 7.6532, 7.9375, 8.2096, 8.5593, 8.8436, 9.4, 9.9686, 10.4309, 10.6007, 11.155, 11.738, 12.3066, 12.6605, 12.8282, 13.3907, 13.8734, 14.395, 14.9289, 15.4627, 15.9966, 16.5182, 17.0377, 17.5961, 18.1443, 18.6925, 19.2509, 19.7971, 20.3391, 20.8934, 21.4314, 21.9673, 22.5646, 23.1086, 23.6446, 23.9432, 24.0516, 24.1866, 24.7368, 25.1214, 25.2011, 25.3771, 26.2832, 26.3568, 26.5491, 26.6514, 26.9132, 27.4573, 28.0014, 28.5311, 29.063, 29.5641, 30.1102, 30.6666, 31.223, 31.7589, 32.2886, 32.8368, 33.3646, 33.9066, 34.4568, 34.9907, 35.5143, 36.0421, 36.5514, 37.0975, 37.6232, 38.1509, 38.6746, 39.2043, 39.7423, 40.2659, 40.81, 41.3541, 41.9064, 42.4586, 42.9884, 43.5386, 44.0971, 44.6432, 45.1709, 45.7375, 46.1425, 46.6416, 47.6193, 47.8484, 48.0816, 48.3148, 48.4027, 48.5786, 48.7464, 48.9448, 49.1002, 50.0452, 50.2191, 50.6139, 51.1252, 51.6632, 52.15, 52.6982, 52.9334, 53.05, 53.1666, 53.2709, 53.7127, 53.7925, 54.1014, 54.3366, 54.488, 54.5514, 55.8932, 56.245, 56.3268, 56.4107, 56.6582, 56.7277, 57.01, 57.5398, 57.6891, 58.0777, 58.6321, 59.1618, 59.71, 60.2132, 60.7389, 61.2584, 61.7636, 62.2873, 62.8027, 63.3346, 63.8623, 64.3921, 64.9075, 65.423, 65.9609, 66.4866, 67.0143, 67.5421, 68.0636, 68.5934, 69.1171, 69.6489, 70.1602, 70.7207, 71.2464, 71.768, 72.308, 72.8152, 73.3348, 73.8564, 74.3861, 74.9159, 75.458, 76.0, 76.5339, 77.0718, 77.618, 78.1641, 78.698, 79.2298, 79.7596, 80.2852, 80.8068, 81.3366, 81.848, 82.3839, 82.9402, 83.4639, 83.9936, 84.4989, 85.0327, 85.5768, 86.1127, 86.6384, 87.1743, 87.7123, 88.2768, 88.8455, 89.3711, 89.8989, 90.4286, 90.94, 91.4452, 91.9811, 92.558, 93.0796, 93.6134, 94.1636, 94.6914, 95.2027, 95.7366, 96.0966, 96.2684, 96.7818, 97.3321, 97.8536, 98.3875, 98.9377, 99.4716, 100.0014, 100.5291, 101.0609, 101.603, 102.1409, 102.6646, 103.1943, 103.6955, 104.2314, 104.7632, 105.2868, 105.8166, 106.3607, 106.8986, 107.41, 107.9152, 108.4184, 108.9216, 109.4391, 109.9771, 110.5068, 111.0407, 111.5521, 112.0818, 112.6116, 113.1127, 113.6957, 114.2275, 114.8677, 115.5857, 116.1646, 116.7721, 117.355, 117.9727, 118.5496, 119.1489, 119.7421, 120.2759, 120.8364, 121.4111]",wtc2f06,wtc2f06,1,-1.0934,-0.9258
5,track19,1.03791666666667,True,176,"[1.2571, 1.5578, 1.8257, 2.0016, 2.0855, 2.1694, 2.333, 2.4169, 2.5825, 2.6664, 2.7973, 2.8587, 3.638, 4.043, 4.45, 4.8469, 5.2703, 5.6609, 5.9044, 6.0434, 6.4484, 6.8494, 7.2625, 7.6655, 7.8475, 8.0357, 8.0971, 8.5287, 8.6678, 8.8007, 8.9705, 9.3878, 9.803, 10.2305, 10.3634, 10.6437, 11.1059, 11.5437, 11.9671, 12.3884, 12.7934, 13.1575, 13.4971, 13.6362, 13.8571, 14.0575, 14.483, 14.9044, 15.0496, 15.1416, 15.7389, 16.1869, 16.5919, 17.0009, 17.3998, 17.813, 18.2344, 18.6598, 19.0771, 19.5353, 19.973, 20.3944, 20.828, 21.2575, 21.7055, 22.135, 22.5748, 23.0105, 23.4462, 23.888, 24.3462, 24.7757, 25.2216, 25.6553, 26.0889, 26.5225, 26.9725, 27.4184, 27.8582, 28.2837, 28.7296, 29.1571, 29.5723, 30.01, 30.4539, 30.8814, 31.3314, 31.7855, 32.2212, 32.6671, 33.1171, 33.5732, 34.0069, 34.4425, 34.8884, 35.3405, 35.7782, 36.2037, 36.6557, 37.1057, 37.6416, 38.108, 38.5396, 38.8096, 38.9753, 39.2146, 39.2984, 39.4232, 39.8528, 40.2639, 40.6648, 41.0698, 41.4769, 41.8859, 42.2869, 42.6898, 43.0969, 43.5059, 43.9273, 44.3569, 44.7803, 45.1853, 45.6209, 46.0423, 46.4432, 46.8789, 47.2962, 47.7257, 48.1491, 48.5623, 48.9755, 49.3641, 49.4971, 49.6321, 49.9982, 50.2273, 50.6323, 51.0762, 51.4812, 51.8739, 52.285, 52.7105, 53.1278, 53.545, 53.9787, 54.3919, 54.7928, 55.1855, 55.615, 56.0344, 56.4516, 56.8689, 57.2637, 57.6932, 58.1023, 58.5175, 58.9573, 59.3664, 59.8634, 60.2746, 60.7225, 61.1296, 61.6573, 62.0664, 62.4407, 62.5921, 63.0257, 66.4416, 66.7341, 67.0184, 67.3907, 67.8121, 68.4278, 69.0537, 69.6407, 70.1644]",wtc1p03,wtc1p03,2,-1.3369,-1.2469
6,track18,0.9896041666666668,True,274,"[3.7068, 4.3286, 4.617, 4.8379, 5.3799, 5.8381, 6.239, 6.7299, 7.1636, 7.5768, 8.1597, 8.4236, 8.6547, 8.8572, 9.1988, 9.6918, 10.2031, 10.7227, 11.4059, 11.9111, 12.4061, 12.8806, 13.3368, 13.8379, 14.3697, 14.8749, 15.3515, 15.7811, 16.227, 16.7834, 17.2845, 17.7918, 18.3134, 18.8227, 19.3402, 19.8781, 20.3997, 20.9009, 21.404, 21.9522, 22.4677, 23.0015, 23.5211, 24.0509, 24.5499, 25.0388, 25.5584, 26.0493, 26.5954, 27.1006, 27.6447, 28.2154, 28.7349, 29.2156, 29.7536, 30.267, 30.7518, 31.2509, 31.7868, 32.292, 32.787, 33.2943, 33.7995, 34.3231, 34.8202, 35.3377, 35.8327, 36.3215, 36.8063, 37.3177, 37.8556, 38.3752, 38.8743, 39.3836, 39.8929, 40.4063, 40.9074, 41.4352, 41.9609, 42.4927, 43.049, 43.5706, 44.0799, 44.5893, 45.1027, 45.6202, 46.1847, 46.7288, 47.2934, 47.7843, 48.3549, 48.8806, 49.392, 49.934, 50.4597, 50.969, 51.4886, 52.0327, 52.6299, 53.172, 53.7468, 54.252, 54.7838, 55.289, 55.8168, 56.3424, 56.8661, 57.3795, 57.9031, 58.3961, 58.9218, 59.4352, 59.9629, 60.464, 60.9918, 61.4909, 62.0268, 62.5484, 63.0638, 63.5649, 64.0763, 64.6061, 65.1297, 65.6636, 66.1709, 66.6965, 67.3245, 67.8849, 68.427, 68.9711, 69.4579, 69.957, 70.4745, 70.9961, 71.5402, 72.0904, 72.5854, 73.1418, 73.6531, 74.1809, 74.7086, 75.2097, 75.7272, 76.2427, 76.7356, 77.2306, 77.7686, 78.2963, 78.7934, 79.2945, 79.8079, 80.3356, 80.8777, 81.3993, 81.9331, 82.4568, 82.9579, 83.4815, 84.0134, 84.5534, 85.0729, 85.5638, 86.1018, 86.5661, 87.1163, 87.6502, 88.2249, 88.7731, 89.2743, 89.8061, 90.3195, 90.8165, 91.3177, 91.8229, 92.3506, 92.862, 93.3734, 93.8622, 94.3797, 94.8809, 95.3656, 95.8647, 96.3761, 96.869, 97.3436, 97.8631, 98.3765, 98.9227, 99.4136, 99.9352, 100.4547, 100.9702, 101.4693, 102.0174, 102.5431, 103.0484, 103.5884, 104.1079, 104.6295, 105.1429, 105.6665, 106.1902, 106.7159, 107.2497, 107.8081, 108.3624, 108.9413, 109.5038, 110.0131, 110.5286, 111.044, 111.584, 112.124, 112.6784, 113.2552, 113.7809, 114.3454, 114.8588, 115.3702, 115.9224, 116.4502, 116.9677, 117.5077, 118.017, 118.5427, 119.0459, 119.5756, 120.1013, 120.6209, 121.124, 121.6436, 122.1611, 122.6704, 123.1859, 123.7095, 124.2781, 124.8243, 125.3561, 126.0065, 126.5547, 127.0579, 127.6163, 128.2627, 128.8518, 129.3652, 129.9011, 130.4902, 131.0874, 131.6418, 132.2779, 133.0163, 133.5788, 134.1229, 134.6609, 135.1804, 135.7122, 136.2747, 136.7963, 137.3834, 137.9172, 138.4449, 138.9972, 139.5454, 140.0956, 140.7502, 141.5315, 142.1922, 142.9204, 143.6077, 144.3031, 144.9904, 145.6388, 146.097, 146.4447]",wtc2p01,wtc2p01,1,-0.2781,-0.1693
7,track8,1.97,True,225,"[5.2484, 5.8293, 6.4552, 6.8091, 7.0995, 7.3614, 7.6211, 7.8727, 8.6766, 9.3025, 9.863, 10.4255, 10.9614, 11.5443, 12.1477, 12.7102, 13.3791, 13.9682, 14.5143, 15.0686, 15.6843, 16.3061, 16.842, 17.4189, 17.9936, 18.5705, 19.1616, 19.718, 20.2743, 20.8532, 21.4177, 22.0252, 22.5836, 23.1134, 23.6616, 24.1914, 24.8111, 25.4084, 25.9423, 26.5355, 27.1123, 27.7218, 28.2925, 28.8448, 29.4461, 30.0393, 30.6243, 31.2073, 31.7841, 32.3732, 32.9336, 33.4736, 34.0893, 34.6764, 35.2409, 35.8014, 36.4068, 36.9795, 37.5155, 38.0984, 38.6589, 39.2214, 39.7839, 40.328, 40.8802, 41.4489, 41.997, 42.5452, 43.1282, 43.7295, 44.2859, 44.8607, 45.5234, 46.0818, 46.6443, 47.2395, 47.8184, 48.3789, 48.9414, 49.4875, 50.0766, 50.68, 51.3305, 51.8868, 52.4575, 52.9873, 53.5723, 54.1634, 54.6973, 55.2475, 55.8284, 56.4052, 56.9677, 57.4934, 58.0661, 58.6634, 59.23, 59.7966, 60.4286, 61.0014, 61.6048, 62.155, 62.7707, 63.3536, 63.9264, 64.4909, 65.0595, 65.6261, 66.2091, 66.7552, 67.3586, 67.9457, 68.502, 69.0625, 69.5984, 70.1814, 70.7377, 71.29, 71.8402, 72.3536, 72.8957, 73.405, 73.9307, 74.4809, 74.9984, 75.5364, 76.0989, 76.6389, 77.1809, 77.7434, 78.3161, 78.8807, 79.4166, 79.93, 80.5007, 81.098, 81.6277, 82.1759, 82.7384, 83.2764, 83.843, 84.4034, 84.9884, 85.598, 86.1564, 86.6964, 87.267, 87.803, 88.3839, 88.9709, 89.5232, 90.0652, 90.593, 91.0961, 92.3091, 92.8655, 93.4218, 94.0232, 94.5918, 95.1809, 95.7045, 96.2936, 96.8541, 97.4002, 97.9975, 98.5784, 99.1348, 99.73, 100.2802, 100.8305, 101.3623, 101.8798, 102.4259, 102.9659, 103.5264, 104.0909, 104.6718, 105.2159, 105.7743, 106.3245, 106.9116, 107.515, 108.0836, 108.6257, 109.2209, 109.8652, 110.485, 111.0373, 111.655, 112.2216, 112.782, 113.367, 113.9684, 114.5595, 115.1077, 115.6723, 116.2409, 116.8095, 117.413, 117.9959, 118.5298, 119.0636, 119.6343, 120.2152, 120.8043, 121.3852, 121.9886, 122.5205, 123.0727, 123.625, 124.1875, 124.7111, 125.3289, 125.9793, 126.5418, 126.9918, 127.4132, 127.8489, 128.2661, 128.6752, 129.1007, 129.5159, 129.9352, 130.3464, 130.7882]",wtc1f03,wtc1p03,3,-0.6684,-0.6974
8,track21,1.95889583333333,True,250,"[3.7643, 4.4004, 4.9322, 5.46, 5.9406, 6.2106, 6.5993, 6.812, 7.2641, 7.4788, 7.8695, 8.0802, 8.4852, 8.7, 9.0845, 9.2563, 9.6327, 9.8086, 10.1768, 10.3568, 10.8252, 11.0645, 11.4981, 11.7886, 12.1956, 12.4534, 12.8645, 13.0731, 13.4986, 13.7297, 14.1429, 14.3802, 14.8241, 15.0634, 15.4581, 15.6791, 16.0984, 16.3397, 16.7447, 16.9534, 17.3952, 17.6304, 18.0027, 18.2911, 18.7431, 18.9886, 19.3936, 19.6472, 20.0666, 20.31, 20.807, 21.2836, 21.7254, 21.9013, 22.3002, 22.4966, 22.8627, 23.0366, 23.3781, 23.5418, 23.9386, 24.1145, 24.5666, 24.7547, 25.1434, 25.3561, 25.802, 26.0434, 26.4422, 26.6775, 27.0743, 27.3627, 27.7145, 28.0561, 28.457, 28.637, 28.9929, 29.5452, 30.0381, 30.5434, 31.0895, 31.8893, 32.4845, 33.0122, 33.6116, 34.2927, 34.9902, 35.7388, 36.4731, 36.9988, 37.5409, 38.0379, 38.6004, 39.1793, 39.7888, 40.3554, 40.8913, 41.4211, 41.9672, 42.5093, 43.0922, 43.6691, 44.2295, 44.835, 45.3954, 45.9231, 46.5041, 47.1218, 47.6986, 48.2816, 48.8686, 49.4516, 50.0754, 50.6256, 51.1759, 51.7056, 52.2354, 52.8081, 53.3972, 53.972, 54.6, 55.2279, 55.8886, 56.4429, 56.9952, 57.572, 58.2634, 58.877, 59.4968, 60.0245, 60.5788, 61.1168, 61.6895, 62.2806, 62.9822, 63.6552, 64.2791, 64.9581, 65.6884, 66.1956, 66.7868, 67.3902, 68.1695, 68.867, 69.7977, 70.4768, 71.2152, 71.8718, 72.6041, 73.2709, 73.9009, 74.5922, 75.2816, 75.9259, 76.5804, 77.3025, 78.0163, 78.8427, 79.442, 80.0454, 80.6816, 81.2031, 81.7943, 82.4366, 83.1402, 83.7313, 84.3286, 84.9156, 85.5988, 86.1245, 86.732, 87.3416, 87.9491, 88.5566, 89.1538, 89.7675, 90.4056, 90.962, 91.5163, 92.0952, 92.6945, 93.2795, 93.8972, 94.4781, 95.1163, 95.6543, 96.2291, 96.7261, 97.262, 97.7795, 98.342, 98.8902, 99.4486, 99.9906, 100.545, 101.1422, 101.6659, 102.2284, 102.8072, 103.4127, 104.1613, 104.6829, 105.227, 105.8079, 106.3172, 106.8429, 107.3604, 107.8616, 108.4445, 108.9538, 109.5184, 110.1013, 110.7047, 111.2693, 111.8113, 112.3963, 112.9445, 113.505, 114.0327, 114.5788, 115.1127, 115.6404, 116.1927, 116.7122, 117.2543, 117.7984, 118.3547, 119.0522, 119.6945, 120.4554, 121.0281, 121.6275, 122.4702, 123.2352, 123.9756, 124.6916, 125.385, 126.1868, 126.962, 127.8456, 128.8766, 129.8502, 130.6541, 131.642, 132.7527, 133.6977, 134.5895, 135.5079, 136.3956, 137.1954]",wtc1f05,wtc1f05,3,-0.539,-0.6812
9,track22,2.03095833333333,True,139,"[5.795, 6.384, 6.922, 7.5254, 8.1452, 8.7118, 9.2702, 9.8961, 10.4975, 11.1009, 11.7002, 12.324, 12.9786, 13.5595, 14.1772, 14.7725, 15.3759, 15.9915, 16.6072, 17.2209, 17.7977, 18.4256, 19.0536, 19.6386, 20.242, 20.8372, 21.457, 22.0543, 22.6556, 23.2529, 23.8563, 24.4618, 25.0713, 25.7054, 26.3211, 26.9265, 27.5565, 28.1722, 28.7838, 29.3954, 29.9825, 30.5838, 31.1995, 31.8029, 32.437, 33.0465, 33.6234, 34.2411, 34.8159, 35.4479, 36.1025, 36.7161, 37.3706, 38.0068, 38.6102, 39.2381, 39.8825, 40.5145, 41.1404, 41.7602, 42.3697, 42.9854, 43.5745, 44.229, 44.8304, 45.4686, 46.0597, 46.6877, 47.3095, 47.9211, 48.5245, 49.1361, 49.717, 50.3429, 50.9504, 51.5395, 52.1286, 52.7484, 53.3456, 53.9306, 54.5259, 55.1354, 55.7204, 56.3177, 56.9272, 57.5531, 58.1402, 58.715, 59.3265, 59.9504, 60.5518, 61.1531, 61.7709, 62.3825, 62.992, 63.5893, 64.1886, 64.8165, 65.4465, 66.0356, 66.6452, 67.2731, 67.895, 68.5495, 69.1836, 69.8218, 70.464, 71.0818, 71.72, 72.3193, 72.9104, 73.5506, 74.1827, 74.8352, 75.4202, 76.0318, 76.6475, 77.2611, 77.8952, 78.5252, 79.1122, 79.7156, 80.3334, 80.9368, 81.5729, 82.2479, 82.8861, 83.51, 84.0909, 84.725, 85.3734, 86.2284, 87.3554, 88.1245, 88.7729, 89.4561, 90.1065, 90.7611, 91.3318]",wtc2f07,wtc2f07,2,-0.8852,-0.9718
