stim_name,n_trials,n_taps,n_consensus_peaks,consensus_mean_ioi_s,consensus_median_ioi_s,beat_sequence_cv_ioi,beat_sequence_cv_ioi_pct,consensus_tempo_bpm,kde_bandwidth_s,wtc_code,manifest_wtc_code,beta_list,beta_perf,beta_score
track1,11,1360,122,0.4365289256198351,0.3999999999999986,0.3003475442170032,30.03475442170032,150.00000000000054,0.08,wtc1p15,wtc1p15,2,-0.2186,-0.2511
track10,13,2389,151,0.5422666666666551,0.5049999999999883,0.3869531912493356,38.69531912493356,118.81188118812155,0.08,wtc1p03,wtc1p03,3,-1.2481,-1.2469
track11,11,1311,110,0.448853211009174,0.3500000000000014,0.4395429091002705,43.95429091002705,171.42857142857073,0.08,wtc1p15,wtc1p15,3,-0.2187,-0.2511
track12,12,2232,264,0.5997528517110271,0.625,0.2380556648723205,23.80556648723205,96.0,0.08,wtc1p04,wtc1p04,2,-0.3545,-0.5101
track13,11,1168,110,0.4633944954128445,0.3500000000000014,0.46313239621970104,46.313239621970105,171.42857142857073,0.08,wtc1p15,wtc1p15,2,-0.417,-0.2511
track14,12,1848,136,0.5361481481481482,0.5050000000000008,0.2667869619855419,26.678696198554192,118.81188118811863,0.08,wtc1p17,wtc1p17,1,-0.9336,-0.9849
track15,12,2262,126,0.57664,0.5899999999999999,0.2555438170781891,25.55438170781891,101.69491525423732,0.08,wtc1p03,wtc1p03,2,-1.0295,-1.2469
track16,11,2310,207,0.5277184466019417,0.4799999999999969,0.44536047031545173,44.53604703154517,125.00000000000081,0.08,wtc1f05,wtc1f05,3,-0.5387,-0.6812
track17,12,1794,224,0.5089686098654709,0.3999999999999986,0.4210336592870609,42.10336592870609,150.00000000000054,0.08,wtc2f07,wtc2f07,2,-0.7004,-0.9718
track18,10,2549,272,0.5368450184501845,0.5200000000000031,0.20714260451924824,20.714260451924822,115.38461538461469,0.08,wtc2p01,wtc2p01,1,-0.2781,-0.1693
track19,12,2075,111,0.6190000000000004,0.6349999999999989,0.2433414338284226,24.33414338284226,94.48818897637811,0.08,wtc1p03,wtc1p03,2,-1.3369,-1.2469
track2,12,1704,127,0.4074206349206349,0.3249999999999975,0.5754196145396909,57.541961453969094,184.61538461538603,0.08,wtc1p15,wtc1p15,3,-0.3972,-0.2511
track20,12,3272,264,0.4973384030418256,0.4650000000000034,0.2893774868906037,28.93774868906037,129.0322580645152,0.08,wtc2p24,wtc2p24,1,-0.44,-0.3163
track21,13,2715,228,0.5963876651982378,0.5899999999999999,0.26925246048228096,26.925246048228097,101.69491525423732,0.08,wtc1f05,wtc1f05,3,-0.539,-0.6812
track22,11,1362,150,0.6195302013422819,0.6099999999999994,0.2929448202201673,29.294482022016734,98.36065573770502,0.08,wtc2f07,wtc2f07,2,-0.8852,-0.9718
track23,11,1874,120,0.6183613445378157,0.6450000000000014,0.2639575779408121,26.39575779408121,93.0232558139533,0.08,wtc1p03,wtc1p03,3,-1.1204,-1.2469
track24,11,1615,141,0.552642857142857,0.5450000000000017,0.24503398539756252,24.50339853975625,110.09174311926571,0.08,wtc1p17,wtc1p17,1,-1.0328,-0.9849
track3,12,3752,221,0.5576590909090909,0.5349999999999966,0.22939248522627817,22.939248522627818,112.1495327102811,0.08,wtc2f06,wtc2f06,1,-1.0934,-0.9258
track4,11,2334,217,0.538587962962963,0.5225000000000044,0.213777189326786,21.3777189326786,114.8325358851665,0.08,wtc2f06,wtc2f06,1,-0.9994,-0.9258
track5,11,2413,287,0.5340734265734266,0.5399999999999991,0.23887025786497446,23.887025786497446,111.11111111111128,0.08,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track6,12,2256,276,0.5651818181818182,0.5750000000000028,0.3106781317552096,31.067813175520957,104.347826086956,0.08,wtc1p04,wtc1p04,2,-0.2648,-0.5101
track7,12,2908,282,0.5237544483985765,0.504999999999999,0.24937915837051325,24.937915837051325,118.81188118811905,0.08,wtc2p24,wtc2p24,1,-0.5012,-0.3163
track8,11,2534,230,0.5681222707423582,0.5650000000000013,0.21346490578235616,21.346490578235617,106.19469026548649,0.08,wtc1f03,wtc1p03,3,-0.6684,-0.6974
track9,11,3086,299,0.4982382550335571,0.39750000000000085,0.3860170442927987,38.60170442927987,150.94339622641476,0.08,wtc1f03,wtc1p03,3,-0.6237,-0.6974
