path,exists
MIRtoolbox1.8.2/MIRToolbox/mirbeatspectrum.m,True
analysis/beta_globaltap_canonical/optimized_crowd_beats_first30s.csv,True
analysis/beta_globaltap_canonical_smoke/optimized_crowd_beats_first30s.csv,True
analysis/beta_globaltap_style/optimized_crowd_beats_first30s.csv,True
analysis/handoff_resolution/beat_reference_and_tracker_file_audit.csv,True
bach-tap-experiment-files/repp_beatfinding/__pycache__/beat_detection.cpython-312.pyc,True
bach-tap-experiment-files/repp_beatfinding/beat_detection.py,True
for_rena/bach_sync_analysis_share_2026_06_30/tables/analysis__beta_globaltap_canonical__optimized_crowd_beats_first30s.csv,True
for_rena/bach_sync_analysis_share_2026_06_30/tables/analysis__handoff_resolution__beat_reference_and_tracker_file_audit.csv,True
weston-music-selection-main 3/weston-matlab/kern_humdrum_database_new/Bach+Johann/extract-beats.csv,True
weston-music-selection-main 3/weston-matlab/kern_humdrum_database_new/Beethoven/extract-beats.csv,True
weston-music-selection-main 3/weston-matlab/kern_humdrum_database_new/Brahms/extract-beats.csv,True
weston-music-selection-main 3/weston-matlab/kern_humdrum_database_new/Chopin/extract-beats.csv,True
weston-music-selection-main 3/weston-matlab/kern_humdrum_database_new/Grieg/extract-beats.csv,True
weston-music-selection-main 3/weston-matlab/kern_humdrum_database_new/Haydn/extract-beats.csv,True
weston-music-selection-main 3/weston-matlab/kern_humdrum_database_new/Liszt/extract-beats.csv,True
weston-music-selection-main 3/weston-matlab/kern_humdrum_database_new/Mozart/extract-beats.csv,True
weston-music-selection-main 3/weston-matlab/kern_humdrum_database_new/Scarlatti/extract-beats.csv,True
weston-music-selection-main 3/weston-matlab/kern_humdrum_database_new/Schubert/extract-beats.csv,True
weston-music-selection-main 3/weston-matlab/pieces_beats_durations.xlsx,True
weston-music-selection-main 3/weston-matlab/piecesbeatsdurations.mat,True
weston-music-selection-main 3/weston-matlab/~$pieces_beats_durations.xlsx,True
