wtc_code,manifest_wtc_code,n_tracks,stim_names,beta_onames,beta_lists,beta_perf_values,sync_statuses
wtc1p03,wtc1p03,4,track10|track10|track15|track19|track23|track23,cut-MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.wav|cut-MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.wav|cut-ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--1.wav|cut-MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1.wav|cut-MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.wav|cut-MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.wav,3|3|2|2|3|3,-1.2481|-1.2481|-1.0295|-1.3369|-1.1204|-1.1204,beta_midi_draft_needs_manual_review
wtc1p15,wtc1p15,4,track1|track11|track13|track2,cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.wav|cut-MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--1.wav|cut-MIDI-Unprocessed_18_R1_2008_01-04_ORIG_MID--AUDIO_18_R1_2008_wav--1.wav|cut-MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_21_R1_2015_wav--1.wav,2|3|2|3,-0.2186|-0.2187|-0.417|-0.3972,beta_midi_draft_needs_manual_review
wtc1f03,wtc1p03,2,track8|track8|track9|track9,cut-MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.wav|cut-MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.wav|cut-MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.wav|cut-MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.wav,3|3|3|3,-0.6684|-0.6684|-0.6237|-0.6237,beta_midi_draft_needs_manual_review
wtc1f05,wtc1f05,2,track16|track21,cut-MIDI-Unprocessed_18_R1_2011_MID--AUDIO_R1-D7_07_Track07_wav.wav|cut-MIDI-Unprocessed_053_PIANO053_MID--AUDIO-split_07-06-17_Piano-e_3-04_wav--1.wav,3|3,-0.5387|-0.539,beta_midi_draft_needs_manual_review
wtc1p04,wtc1p04,2,track12|track6,cut-MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018_wav--1.wav|cut-MIDI-Unprocessed_044_PIANO044_MID--AUDIO-split_07-06-17_Piano-e_1-04_wav--1.wav,2|2,-0.3545|-0.2648,beta_midi_draft_needs_manual_review
wtc1p17,wtc1p17,2,track14|track24,cut-ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_04_R1_2013_wav--1.wav|cut-MIDI-Unprocessed_13_R1_2008_01-04_ORIG_MID--AUDIO_13_R1_2008_wav--1.wav,1|1,-0.9336|-1.0328,beta_midi_draft_needs_manual_review
wtc2f06,wtc2f06,2,track3|track4,cut-MIDI-Unprocessed_065_PIANO065_MID--AUDIO-split_07-07-17_Piano-e_3-01_wav--1.wav|cut-MIDI-Unprocessed_XP_09_R1_2004_01-02_ORIG_MID--AUDIO_09_R1_2004_01_Track01_wav.wav,1|1,-1.0934|-0.9994,beta_midi_draft_needs_manual_review
wtc2f07,wtc2f07,2,track17|track22,cut-MIDI-Unprocessed_061_PIANO061_MID--AUDIO-split_07-07-17_Piano-e_2-05_wav--1.wav|cut-MIDI-Unprocessed_13_R1_2011_MID--AUDIO_R1-D5_02_Track02_wav.wav,2|2,-0.7004|-0.8852,beta_midi_draft_needs_manual_review
wtc2p01,wtc2p01,2,track18|track5,cut-MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--1.wav|cut-MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_20_R1_2015_wav--1.wav,1|1,-0.2781|-0.3205,beta_midi_draft_needs_manual_review
wtc2p24,wtc2p24,2,track20|track7,cut-MIDI-Unprocessed_06_R1_2008_01-04_ORIG_MID--AUDIO_06_R1_2008_wav--1.wav|cut-ORIG-MIDI_03_7_6_13_Group__MID--AUDIO_10_R1_2013_wav--1.wav,1|1,-0.44|-0.5012,beta_midi_draft_needs_manual_review
