target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman_rho,fdr_q
istc_mean_max_unique_per_sec,mtb_pitch_std,2874,0.3424226501578223,7.207439096565268e-80,0.336055588846614,8.135635880306051e-77,0.336055588846614,1.915572448181152e-75
istc_mean_max_unique_per_sec,mtb_n_note_onsets,2880,0.3325373558471084,2.5903599684265987e-75,0.3335589040800497,8.584910739071672e-76,0.3335589040800497,1.7103783703227408e-74
istc_mean_max_unique_per_sec,mtb_note_onset_density_per_s,2880,0.3325373558471084,2.5903599684265987e-75,0.3335589040800497,8.584910739071672e-76,0.3335589040800497,1.7103783703227408e-74
istc_mean_max_unique_per_sec,n_note_onsets,2880,0.3324934758958082,2.7159459364224694e-75,0.3333454390813797,1.0817087981590963e-75,0.3333454390813797,1.867750524821373e-74
istc_mean_max_unique_per_sec,note_onset_density_per_s,2880,0.3324934758958082,2.7159459364224694e-75,0.3333454390813797,1.0817087981590963e-75,0.3333454390813797,1.867750524821373e-74
istc_mean_max_unique_per_sec,std_pitch,2809,0.3232888068340038,2.4003599439627316e-69,0.3162974269234543,2.6657806371466934e-66,0.3162974269234543,3.138350841004516e-65
istc_mean_max_unique_per_sec,mtb_active_note_count,2880,0.3376373664258124,1.0013354684834227e-77,0.3067592471833391,8.351426509065329e-64,0.3067592471833391,9.404432460208349e-63
istc_mean_max_unique_per_sec,active_note_count,2880,0.3372721389449258,1.4958591975427587e-77,0.3063149742997026,1.2890149042323696e-63,0.3063149742997026,1.3910619174840986e-62
istc_mean_max_unique_per_sec,mtb_ioi_mean_s,2809,-0.3162585011199558,2.7704736848824525e-66,-0.284189570481357,2.468592104440519e-53,0.284189570481357,2.2047081208623944e-52
istc_mean_max_unique_per_sec,mean_midi_ioi_s,2809,-0.3159739304689504,3.6709752140942015e-66,-0.2839689390658305,2.9915634635294664e-53,0.2839689390658305,2.582716456847106e-52
istc_mean_max_unique_per_sec,mir_roughness,2880,0.1929441709980026,1.4918002827054868e-25,0.2274211306863997,4.2103107965098444e-35,0.2274211306863997,2.596358324514404e-34
istc_mean_max_unique_per_sec,mtb_ioi_cv,2702,0.1868598251193647,1.1828036816266029e-22,0.2205843630892833,3.9300013968468567e-31,0.2205843630892833,2.1656816208156083e-30
istc_mean_max_unique_per_sec,cv_midi_ioi,2702,0.1862604838517811,1.6222549071981128e-22,0.220233097180055,4.9033728925014995e-31,0.220233097180055,2.6457782899122675e-30
istc_mean_max_unique_per_sec,approx_polyphony,2874,-0.2179511125756318,3.0187693119998237e-32,-0.1953776599678189,4.03476094964565e-26,0.1953776599678189,1.9000056108331334e-25
istc_mean_max_unique_per_sec,mtb_approx_polyphony,2880,-0.21354696117033,4.681052729660951e-31,-0.1895377111062858,1.0628495454936248e-24,0.1895377111062858,4.915679147908015e-24
istc_mean_max_unique_per_sec,mtb_duration_mean_s,2874,-0.222352793727491,1.588618619612279e-33,-0.182241679773764,6.9747255011849e-23,0.182241679773764,2.8673871504871258e-22
istc_mean_max_unique_per_sec,mean_note_duration_s,2874,-0.2224930894998392,1.4447805523347295e-33,-0.1822104034709397,7.095011567425479e-23,0.1822104034709397,2.8712624936924985e-22
istc_mean_max_unique_per_sec,spectral_bandwidth_hz_mean,2880,-0.2166750086886028,6.057358484570324e-32,-0.1748581620246528,3.3016243159459207e-21,0.1748581620246528,1.2575304379852845e-20
istc_mean_max_unique_per_sec,mtb_ioi_std_s,2809,0.0589881715080852,0.0017617678187013,0.1430879495111684,2.5461403975577295e-14,0.1430879495111684,8.564290428148726e-14
istc_mean_max_unique_per_sec,spectral_bandwidth_hz_std,2880,-0.1733974716155529,7.081745992721116e-21,-0.1232224862648053,3.2397051182763776e-11,0.1232224862648053,9.323151395928687e-11
istc_mean_max_unique_per_sec,mir_centroid,2880,-0.153675783585632,1.105833090193303e-16,-0.1083554357954647,5.555732955149647e-09,0.1083554357954647,1.4107204268468222e-08
istc_mean_max_unique_per_sec,zero_crossing_rate_mean,2880,0.1024696346122872,3.5635015099038926e-08,0.1054782710211241,1.3955472119063646e-08,0.1054782710211241,3.475449306574504e-08
istc_mean_max_unique_per_sec,onset_strength_mean,2880,0.0930998279435375,5.587212452191076e-07,0.1048590513023819,1.6961664122394903e-08,0.1048590513023819,4.144406611038e-08
istc_mean_max_unique_per_sec,spectral_rolloff_hz_std,2880,-0.0976395482961711,1.5196573631735714e-07,-0.1007827217140207,5.9590744864935e-08,0.1007827217140207,1.3079663491540817e-07
istc_mean_max_unique_per_sec,rms_mean,2880,0.1176432225347435,2.4097375904999506e-10,0.1004279876338459,6.632575068047734e-08,0.1004279876338459,1.44356045598686e-07
istc_mean_max_unique_per_sec,spectral_centroid_hz_std,2880,-0.1453686543168436,4.520198019221544e-15,-0.0957700760393047,2.616424196064063e-07,0.0957700760393047,5.378205291909462e-07
istc_mean_max_unique_per_sec,mir_rms,2880,0.1068173668981792,9.117441395430447e-09,0.0914833234823078,8.756972334558046e-07,0.0914833234823078,1.7182241171594953e-06
istc_mean_max_unique_per_sec,spectral_centroid_hz_mean,2880,-0.1193968173572865,1.295248649817046e-10,-0.0815328610418252,1.1818575923308116e-05,0.0815328610418252,2.170929903643122e-05
istc_mean_max_unique_per_sec,rms_std,2880,0.016666234279921,0.371280263458538,0.0528994834818602,0.0045164465281668,0.0528994834818602,0.0064272508285450605
istc_mean_max_unique_per_sec,zero_crossing_rate_std,2880,0.0178370242515916,0.3386198812003271,0.0509823714523127,0.0062079033562311,0.0509823714523127,0.00869106469872354
istc_mean_max_unique_per_sec,onset_strength_std,2880,0.0236772670813458,0.2039842162109336,0.0381596524411304,0.0405875775518906,0.0381596524411304,0.053091831242119525
istc_mean_max_unique_per_sec,mtb_pitch_mean,2874,0.0079335626851617,0.6707363775029123,0.0209932166078583,0.2605574887852886,0.0209932166078583,0.29598416489206036
istc_mean_max_unique_per_sec,mean_pitch,2874,0.0079700299008463,0.6693124450652634,0.0208575943906397,0.2636504757327831,0.0208575943906397,0.2981898393658988
istc_mean_max_unique_per_sec,mtb_duration_std_s,2874,-0.1353338020072315,3.2026864669595304e-13,-0.0207588697374454,0.2659178417050592,0.0207588697374454,0.29944661305047976
istc_mean_max_unique_per_sec,mir_brightness,2880,-0.0454751096422586,0.0146607079381273,-0.0164254846731708,0.3782308027106065,0.0164254846731708,0.41509227924596226
istc_mean_max_unique_per_sec,mean_velocity,2874,0.0178639645505514,0.3383948818302806,0.0125927651090186,0.4997854031107546,0.0125927651090186,0.5326930839740142
istc_mean_max_unique_per_sec,spectral_rolloff_hz_mean,2880,-0.0548577070843488,0.0032304541866387,-0.0035330452146914,0.8496841964584089,0.0035330452146914,0.8562965248355171
max_tap_count_per_100ms_bin,mtb_pitch_std,2874,0.349878335023237,1.5531107941274918e-83,0.3450423038916976,3.8095054292915556e-81,0.3450423038916976,5.771680527384707e-79
max_tap_count_per_100ms_bin,mtb_n_note_onsets,2880,0.3406204674790838,3.698169092600061e-79,0.3432212624935916,2.0232943473653464e-80,0.3432212624935916,1.0822261023906985e-78
max_tap_count_per_100ms_bin,mtb_note_onset_density_per_s,2880,0.3406204674790838,3.698169092600061e-79,0.3432212624935916,2.0232943473653464e-80,0.3432212624935916,1.0822261023906985e-78
max_tap_count_per_100ms_bin,n_note_onsets,2880,0.3406140510990943,3.724646987253539e-79,0.3430302129297832,2.507087495885788e-80,0.3430302129297832,1.0822261023906985e-78
max_tap_count_per_100ms_bin,note_onset_density_per_s,2880,0.3406140510990943,3.724646987253539e-79,0.3430302129297832,2.507087495885788e-80,0.3430302129297832,1.0822261023906985e-78
