target,feature,n_pieces_within_piece_tests,median_piece_spearman_rho,n_positive_pieces,n_negative_pieces,fisher_stat,fisher_p,global_spearman_rho,global_fdr_q,fisher_fdr_q
max_tap_count_per_100ms_bin,active_note_count,10,0.25797024856031425,9,1,488.801807526692,6.41834597497484e-91,0.2833423824954585,,3.3720145581119296e-89
max_tap_count_per_100ms_bin,mtb_active_note_count,10,0.2573661321691666,9,1,489.8727513880562,3.8316775504399205e-91,0.2838091041745209,,3.3720145581119296e-89
max_unique_participants_per_100ms_bin,active_note_count,10,0.2587798176875388,9,1,488.69904467280577,6.74402911622386e-91,0.2816067871336734,,3.3720145581119296e-89
max_unique_participants_per_100ms_bin,mtb_active_note_count,10,0.258178405514769,9,1,489.7763603977423,4.013784518529732e-91,0.282129104111071,,3.3720145581119296e-89
istc_mean_max_unique_per_sec,mtb_active_note_count,10,0.24753108698608195,9,1,473.3147025916848,1.109427134406716e-87,0.2735045000136166,,4.437708537626864e-86
istc_mean_max_unique_per_sec,active_note_count,10,0.24771851880350407,8,2,472.09914064304166,1.9908908458747982e-87,0.273057946766168,,6.636302819582661e-86
max_tap_count_per_100ms_bin,mtb_n_note_onsets,10,0.24820654238541986,9,1,435.0701597253287,1.0519063313657383e-79,0.2607921714077268,,1.8538585471902276e-78
max_tap_count_per_100ms_bin,mtb_note_onset_density_per_s,10,0.24820654238541986,9,1,435.0701597253287,1.0519063313657383e-79,0.2607921714077268,,1.8538585471902276e-78
max_tap_count_per_100ms_bin,n_note_onsets,10,0.24820654238541986,9,1,435.5518834457155,8.34981698008103e-80,0.2606336154296801,,1.8538585471902276e-78
max_tap_count_per_100ms_bin,note_onset_density_per_s,10,0.24820654238541986,9,1,435.5518834457155,8.34981698008103e-80,0.2606336154296801,,1.8538585471902276e-78
max_unique_participants_per_100ms_bin,n_note_onsets,10,0.24901881600804568,9,1,434.9536841185377,1.1123151283141365e-79,0.260007117458674,,1.8538585471902276e-78
max_unique_participants_per_100ms_bin,note_onset_density_per_s,10,0.24901881600804568,9,1,434.9536841185377,1.1123151283141365e-79,0.260007117458674,,1.8538585471902276e-78
max_unique_participants_per_100ms_bin,mtb_n_note_onsets,10,0.24901881600804568,9,1,434.47839605029026,1.3969543024413836e-79,0.2602773322701229,,1.9956490034876907e-78
max_unique_participants_per_100ms_bin,mtb_note_onset_density_per_s,10,0.24901881600804568,9,1,434.47839605029026,1.3969543024413836e-79,0.2602773322701229,,1.9956490034876907e-78
istc_mean_max_unique_per_sec,spectral_centroid_hz_mean,10,-0.09785908655458955,5,5,427.9675274418124,3.1642139669317205e-78,-0.2038664326565615,,4.218951955908961e-77
max_tap_count_per_100ms_bin,spectral_centroid_hz_mean,10,-0.0905984533751757,5,5,426.80592801155893,5.519909519156149e-78,-0.2056543751437772,,6.8998868989451865e-77
max_unique_participants_per_100ms_bin,spectral_centroid_hz_mean,10,-0.08875371277271418,5,5,424.85258843561047,1.406862749987779e-77,-0.2042714408547261,,1.6551326470444458e-76
optimizer_peak_to_grid_median_abs_error_ms,spectral_centroid_hz_mean,10,0.0011681026715770308,5,5,423.5119514969697,2.673462968033342e-77,0.0532524470840254,,2.970514408925935e-76
istc_mean_max_unique_per_sec,n_note_onsets,10,0.24057451818758457,9,1,418.6506402742135,2.740254603015162e-76,0.2497138783104549,,2.740254603015162e-75
istc_mean_max_unique_per_sec,note_onset_density_per_s,10,0.24057451818758457,9,1,418.6506402742135,2.740254603015162e-76,0.2497138783104549,,2.740254603015162e-75
istc_mean_max_unique_per_sec,mtb_n_note_onsets,10,0.24057451818758457,9,1,418.13421953723326,3.5085661339301665e-76,0.2499608435774589,,3.1896055763001514e-75
istc_mean_max_unique_per_sec,mtb_note_onset_density_per_s,10,0.24057451818758457,9,1,418.13421953723326,3.5085661339301665e-76,0.2499608435774589,,3.1896055763001514e-75
optimizer_peak_to_grid_median_abs_error_ms,mir_centroid,10,-0.040407139414965196,4,6,415.1354600922694,1.4733596846988804e-75,0.0550814385172619,,1.2811823345207656e-74
optimizer_peak_to_grid_median_abs_error_ms,mir_brightness,10,-0.09776398774586993,4,6,375.87923716647396,2.0251348270711938e-67,0.0432468567253721,,1.6876123558926615e-66
max_unique_participants_per_100ms_bin,mtb_pitch_std,10,0.22029083531817906,8,2,362.8478320715095,9.978134081929911e-65,0.239140738466626,,7.98250726554393e-64
max_tap_count_per_100ms_bin,mtb_pitch_std,10,0.22029083531817906,8,2,362.24618637198,1.3281460781878112e-64,0.2389495340446754,,1.0216508293752394e-63
max_tap_count_per_100ms_bin,mtb_ioi_mean_s,10,-0.24969463406476944,1,9,360.0647302279593,3.74515517286187e-64,-0.2376735269580365,,2.7741890169347187e-63
max_tap_count_per_100ms_bin,mean_midi_ioi_s,10,-0.24952719354810124,1,9,359.8451455333187,4.157013120793521e-64,-0.2377121227147278,,2.9692950862810865e-63
max_unique_participants_per_100ms_bin,mtb_ioi_mean_s,10,-0.2488340778423856,1,9,358.8341820264388,6.720110413261596e-64,-0.2357234704256404,,4.6345589056976524e-63
max_unique_participants_per_100ms_bin,mean_midi_ioi_s,10,-0.24866840128349255,1,9,358.62336881898807,7.427971826601811e-64,-0.2357652878512708,,4.95198121773454e-63
istc_mean_max_unique_per_sec,mtb_pitch_std,10,0.20158506909455767,8,2,352.16158727244175,1.5972577435904548e-62,0.2294467497913128,,1.0304888668325514e-61
istc_mean_max_unique_per_sec,mtb_ioi_mean_s,10,-0.24417513103855715,1,9,351.8903211611071,1.8167097680629548e-62,-0.2314142417367621,,1.1354436050393467e-61
istc_mean_max_unique_per_sec,mean_midi_ioi_s,10,-0.2440260974012431,1,9,351.6635770750837,2.0231026691394878e-62,-0.2314758632011761,,1.2261228297815077e-61
istc_mean_max_unique_per_sec,spectral_bandwidth_hz_mean,10,-0.06923846926805802,4,6,351.5197984744498,2.165958466979893e-62,-0.1898567044781135,,1.2740932158705254e-61
max_tap_count_per_100ms_bin,spectral_bandwidth_hz_mean,10,-0.06849767825880879,4,6,344.87442985921143,5.064314209925622e-61,-0.1955249558630942,,2.893893834243212e-60
max_unique_participants_per_100ms_bin,spectral_bandwidth_hz_mean,10,-0.0694416978415785,4,6,344.6593324196553,5.607956262742387e-61,-0.1936871974643608,,3.1155312570791043e-60
istc_mean_max_unique_per_sec,mir_centroid,10,-0.12912323814258542,5,5,316.12468796400145,4.067953560205416e-55,-0.1654706553210155,,2.1988938163272522e-54
max_tap_count_per_100ms_bin,mir_centroid,10,-0.13439806231413842,5,5,311.75317629714516,3.195748744696228e-54,-0.1701222778354104,,1.6819730235243304e-53
max_unique_participants_per_100ms_bin,mir_centroid,10,-0.13184548034247995,5,5,310.4569141399487,5.886755194749278e-54,-0.1675658701571678,,3.0188488178201425e-53
max_unique_participants_per_100ms_bin,std_pitch,10,0.22053204736465576,8,2,309.36227327452724,9.859652072539158e-54,0.2194473873005807,,4.929826036269579e-53
max_tap_count_per_100ms_bin,std_pitch,10,0.22053204736465576,8,2,308.8261560697612,1.2692419143100255e-53,0.2189926255132757,,6.191423972244027e-53
istc_mean_max_unique_per_sec,std_pitch,10,0.2016011403289461,8,2,299.6817629073648,9.387487050443087e-52,0.2101472252436112,,4.4702319287824225e-51
optimizer_peak_to_grid_median_abs_error_ms,mir_rms,10,-0.03354167490425381,5,5,293.67592829164414,1.5780891249874198e-50,-0.0561247490413885,,7.339949418546138e-50
max_unique_participants_per_100ms_bin,mean_pitch,10,-0.17042793973901146,4,6,292.0569906528081,3.374640438650424e-50,-0.0460051165355808,,1.499840194955744e-49
optimizer_peak_to_grid_median_abs_error_ms,rms_mean,10,-0.045713087413817834,4,6,292.0973727937208,3.3112742841596555e-50,-0.0528020906707579,,1.499840194955744e-49
max_unique_participants_per_100ms_bin,mtb_pitch_mean,10,-0.16943845209119085,4,6,291.2342250513891,4.965253150086143e-50,-0.0456999112361952,,2.1588057174287575e-49
max_tap_count_per_100ms_bin,mean_pitch,10,-0.167962092206601,4,6,289.77611551483045,9.842132908796977e-50,-0.045969093195788,,4.1881416633178624e-49
max_tap_count_per_100ms_bin,mtb_pitch_mean,10,-0.16685252142338944,4,6,288.94920078031623,1.4506503267110146e-49,-0.0456439641917695,,6.0443763612958934e-49
istc_mean_max_unique_per_sec,rms_mean,10,-0.02955921457468013,4,6,288.4387122567308,1.8431159102539772e-49,0.1142008918175573,,7.522922082669294e-49
max_tap_count_per_100ms_bin,rms_mean,10,-0.02419359062387163,4,6,287.0178497092797,3.5886257344129064e-49,0.11757216659642,,1.4354502937651626e-48
max_unique_participants_per_100ms_bin,rms_mean,10,-0.0240603171214055,4,6,286.78122039597355,4.009695514941237e-49,0.1163304391446285,,1.5724296137024457e-48
istc_mean_max_unique_per_sec,mean_pitch,10,-0.168243726278096,4,6,284.7680168603424,1.0302437108193967e-48,-0.0525083519509374,,3.962475810843834e-48
istc_mean_max_unique_per_sec,mtb_pitch_mean,10,-0.16736636126677082,4,6,283.9304736654762,1.525395385091672e-48,-0.0522140603605359,,5.756209000345933e-48
istc_mean_max_unique_per_sec,mir_rms,10,-0.015276475661071959,5,5,281.8425059983979,4.056426492456829e-48,0.1091176387556972,,1.4750641790752105e-47
max_tap_count_per_100ms_bin,mir_rms,10,-0.007344142009503361,5,5,281.8646603629633,4.014558478870146e-48,0.1139061419057575,,1.4750641790752105e-47
max_unique_participants_per_100ms_bin,mir_rms,10,-0.007658809920033254,5,5,281.49375556988116,4.7760668246772746e-48,0.1125234005733343,,1.705738151670455e-47
istc_mean_max_unique_per_sec,spectral_bandwidth_hz_std,10,-0.04423354353470236,5,5,267.54006444905235,3.2499849807739044e-45,-0.1759685811093938,,1.1403456072890892e-44
max_tap_count_per_100ms_bin,mir_roughness,10,0.07072263809085201,7,3,266.29207339785535,5.817658831568099e-45,0.1168885852665153,,2.0060892522648618e-44
max_unique_participants_per_100ms_bin,mir_roughness,10,0.06784729390524452,7,3,265.94813067502423,6.83003331749708e-45,0.1160977500139147,,2.315265531354942e-44
