stim_name,wtc_code,window_start_s,window_end_s,window_center_s,midi_path,mtb_n_note_onsets,mtb_note_onset_density_per_s,mtb_pitch_mean,mtb_pitch_std,mtb_duration_mean_s,mtb_duration_std_s,mtb_ioi_mean_s,mtb_ioi_std_s,mtb_ioi_cv,mtb_active_note_count,mtb_approx_polyphony
track1,wtc1p15,0,1,0.5,wtc1p15_cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.midi,14,14,67.0714285714286,9.68316767714658,0.0851934523809524,0.0314982224270481,0.0754206730769231,0.0398625447089784,0.528536050962072,14,1
track1,wtc1p15,0.25,1.25,0.75,wtc1p15_cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.midi,13,13,65.6153846153846,9.8449518497084,0.085536858974359,0.0299355755415512,0.0759548611111111,0.0402492293135222,0.529909853362029,14,1.07692307692308
track1,wtc1p15,0.5,1.5,1,wtc1p15_cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.midi,11,11,65.9090909090909,6.44134373332995,0.0872395833333333,0.0274859891707474,0.08203125,0.03779283011756,0.460712595718827,12,1.09090909090909
track1,wtc1p15,0.75,1.75,1.25,wtc1p15_cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.midi,13,13,64.4615384615385,8.95000358114812,0.0850360576923077,0.0295508121616,0.0775824652777777,0.039725506352995,0.512042330838044,13,1
track1,wtc1p15,1,2,1.5,wtc1p15_cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.midi,12,12,65.0833333333333,8.91840113405305,0.0852864583333333,0.0235719261565624,0.082623106060606,0.0346773107589237,0.419704758297116,13,1.08333333333333
track1,wtc1p15,1.25,2.25,1.75,wtc1p15_cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.midi,13,13,65.7692307692308,8.55525029980466,0.08203125,0.0316453578707608,0.0740017361111111,0.0353064505615811,0.477103003483184,14,1.07692307692308
track1,wtc1p15,1.5,2.5,2,wtc1p15_cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.midi,14,14,63.4285714285714,8.71527647043076,0.0784040178571428,0.0308221350556904,0.0698116987179487,0.039517526498544,0.566058801379431,15,1.07142857142857
track1,wtc1p15,1.75,2.75,2.25,wtc1p15_cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.midi,14,14,62,7.66610923280061,0.0811011904761905,0.0320755527811156,0.0714142628205129,0.0425153841713454,0.595334636138446,15,1.07142857142857
track1,wtc1p15,2,3,2.5,wtc1p15_cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.midi,13,13,60.8461538461538,7.28978913556665,0.0856370192307693,0.0339340081071573,0.0721571180555556,0.0461174125957001,0.63912492403304,14,1.07692307692308
track1,wtc1p15,2.25,3.25,2.75,wtc1p15_cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.midi,11,11,60.1818181818182,7.15287609033152,0.0922111742424243,0.0262673694562933,0.0826822916666666,0.0410437467893853,0.496403110775558,12,1.09090909090909
